Id,CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,CD9,CD10,BJ1,BJ2,BJ3,BJ4,BJ5,BJ6,BJ7,BJ8,BJ9,BJ10
ENST00000447771,0,0,0,0,0,0,0,0,0,0,0,1,1,6,26,1,1,1,5,0
ENST00000329451,4,0,2,1,2,3,2,2,1,2,0,0,0,0,1,1,1,0,1,2
ENST00000570330,32,32,32,22,24,29,41,31,21,32,10,7,7,18,12,6,11,18,13,6
ENST00000374450,34,30,28,35,37,38,50,33,36,41,25,12,17,25,16,19,21,22,28,21
ENST00000529099,18,8,14,12,4,21,13,14,8,7,2,2,3,2,1,2,0,3,1,5
ENST00000356607,1,1,2,1,1,3,1,2,3,1,2,2,1,2,0,2,3,0,1,2
ENST00000578434,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,6,1
ENST00000547247,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,1,1,0
ENST00000590856,10,19,22,21,32,8,19,17,25,18,28,39,45,37,32,29,41,52,38,41
ENST00000264972,0,0,0,0,0,0,0,1,5,0,4,4,3,9,0,3,0,5,6,3
ENST00000473730,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0,0,1
ENST00000444836,0,0,75,53,34,28,0,55,0,10,6,4,6,3,1,4,14,16,2,6
ENST00000595541,2,0,2,2,5,0,1,2,2,4,11,9,11,16,10,7,4,13,12,5
ENST00000583127,0,0,0,0,4,0,0,1,2,1,14,13,12,13,23,13,21,8,17,7
ENST00000466707,0,0,0,1,1,0,0,0,0,0,3,1,3,1,4,3,2,4,4,5
ENST00000512242,0,0,0,0,0,0,0,0,0,0,4,5,4,4,6,7,4,2,4,3
ENST00000600987,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1
ENST00000304581,0,0,0,0,0,0,0,1,1,4,0,0,0,0,2,2,0,0,0,0
ENST00000517393,0,1,2,0,0,1,1,0,0,1,0,4,0,2,1,0,1,0,1,0
ENST00000297347,22,35,17,18,39,12,45,16,34,34,43,24,32,26,38,31,46,45,45,27
ENST00000420411,2,0,4,2,1,2,4,2,5,2,1,1,2,2,0,1,3,1,2,1
ENST00000258455,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0
ENST00000216185,12,9,25,30,7,26,37,20,33,11,10,14,13,8,5,13,10,17,10,15
ENST00000510979,1,1,2,2,2,3,2,1,3,2,5,5,5,5,5,8,9,5,5,3
ENST00000490121,1,4,3,3,5,0,2,3,4,2,6,7,7,10,7,11,4,7,8,6
ENST00000481522,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,3,1,1,1
