"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pcmtd1",2091.27188360147,-0.619929941187601,0.194939376421805,-3.18011657042655,0.00147215818701816,0.00847007504267727
"ENSMUSG00000103509",328.58966283989,-0.111408848320244,0.402546007406305,-0.276760534871719,0.781963986464693,0.91409492055878
"Exo1",12.4309315394205,1.76153979047781,1.94384320213896,0.90621496041422,0.364822086047994,0.619325699867689
"Uxs1",184.732737359591,0.726104969387653,0.48710669440534,1.49064871767792,0.136053746566194,0.319390309136602
"ENSMUSG00000090243",9.32442522493578,1.6395253575569,2.1253932814322,0.771398579208879,0.440470716992363,0.69016899970208
"Dsel",43.0028474154493,-0.482375746907709,1.25425190290207,-0.38459239789997,0.700539427314893,0.872318237071471
"Rrs1",80.2204977072646,2.61831607080719,0.740148468234338,3.53755521112314,0.000403849742750975,0.00276979832279921
"Adhfe1",53.5476343660391,0.675848745743878,0.932681317574729,0.724629874115311,0.46867912657056,0.71667118292755
"Cep170",1397.29838485849,0.0665959221489991,0.220065471147526,0.302618678894677,0.762180477859884,0.904727060413974
"ENSMUSG00000104154",11.1648168981776,1.80376648782155,1.98917495080472,0.90679127398615,0.364517185209998,0.619235487643713
"Mybl1",40.9252618113522,0.799318124733296,0.932038921390483,0.857601658459515,0.391112458971316,0.644765403416437
"Vcpip1",3014.60833468859,-0.429227550219886,0.1897458432091,-2.26211833134535,0.0236900933100358,0.0857050866081219
"Tpp2",2940.614555243,0.736458574012973,0.174646758981208,4.2168464980917,2.47742492935767e-05,0.000223411046448079
"Sdccag8",185.509511334751,-0.528700187531109,0.589834346189014,-0.896353681244742,0.37006389713964,0.624829938920532
"Mettl21c",11.2723278938583,-0.216084664417605,1.74167598920702,-0.124067085816569,0.901262158482902,0.965858912503026
"Ccdc168",122.871121428259,1.49356011026931,0.575103665278668,2.59702763248014,0.00940343589959124,0.040603776211599
"Niban1",6736.78224389702,-1.82460540304564,0.172502779060995,-10.5772522215452,3.7993738133493e-26,2.46733592492654e-24
"Akt3",393.055868415546,0.286136445536488,0.372678629328139,0.767783347417402,0.44261590945134,0.692152368296434
"Zbtb18",615.22867496863,0.435194647216035,0.297655483202676,1.46207502221522,0.143720652572979,0.332235817748884
"Tex30",110.177195392823,1.24380930678526,0.671577193681114,1.85207198589871,0.0640154866264174,0.184886647636579
"Edem3",1211.81909607483,0.290578296700029,0.231751284581793,1.25383683298409,0.209901318359852,0.431475113851544
"Spmip3",13.1449478336238,0.793004323103732,1.61341638395241,0.491506303636942,0.623068394783498,0.826264779899912
"1700025G04Rik",74.7339879392952,-0.456773645258796,0.800061818105963,-0.570922939855004,0.568051880120846,0.790939488051081
"Adss2",1487.73249818473,0.230085161011305,0.210195073296225,1.09462680263228,0.273680168348104,0.515052405097914
"Tsen15",56.3473504278303,1.97355588715478,0.819974199247462,2.40685120210615,0.016090724366148,0.0629207439095179
"Epha4",80.0561209549498,0.184074553729057,0.76129643676441,0.241790904094328,0.808942187309623,0.928515978903297
"Colgalt2",31.7959051507903,0.85480061438507,1.14105608565368,0.749131112074459,0.453778184593801,0.702683035984278
"Poglut2",29.242734726359,0.676520508951025,1.14404047539501,0.591343159181005,0.554290517112992,0.780728311040254
"Bivm",60.9186367688854,0.534546659831249,0.844950885382048,0.632636368668401,0.526971131614617,0.759821473828421
"Sgpp2",17.1379985077213,-0.438369129386717,1.50196761947791,-0.291863235732802,0.770391193831726,0.9087974538352
"Desi2",752.684456369281,0.659900013619405,0.27918610932909,2.36365632661741,0.0180955904194983,0.0692673323935373
"Ercc5",330.524400214284,-0.793079937556664,0.357091017595053,-2.22094619712901,0.0263546057301917,0.0932778183985115
"Farsb",179.070564283063,0.900393261656448,0.480808559901585,1.87266479166,0.0611146881573968,0.178526383443156
"Rgl1",741.523518874747,-0.0772297284696365,0.263322446286356,-0.293289575419072,0.769300821097183,0.908026993322846
"ENSMUSG00000080950",8.48490568133609,6.28044708926957,2.56440083345827,2.44908947436269,0.0143217866284477,0.0575004683713456
"Arpc5",16782.6930867325,-1.14750033999183,0.159204026126647,-7.20773442675997,5.68904451000945e-13,1.40455870543859e-11
"Gulp1",12.8101691250202,-1.11505267441674,1.599806653388,-0.69699214717937,0.485807708258305,0.7298242690028
"Hnrnpu",13646.5594292092,0.403241957530044,0.163596264181301,2.46486042666086,0.013706663193383,0.0554266361808873
"ENSMUSG00000104279",15.9498396341305,-1.97331093460512,1.49749130147633,-1.31774450553381,0.187589190619842,0.399763630459184
"Efcab2",91.9069736298214,1.12145440034283,0.647374364014291,1.73231203254455,0.0832180207499657,0.223791307133672
"Acsl3",136.406431235945,-0.764856417071717,0.522236221477712,-1.46457940988369,0.143035703003113,0.331021971745145
"Ncf2",38166.9909181478,-2.16577624441121,0.160296393861022,-13.5110727836395,1.34546423888661e-41,2.34289379013911e-39
"Kif26b",35.1842557765005,3.84716478279307,1.28154188108479,3.00198131608196,0.00268228637954949,0.0142200755547972
"Sgk3",1352.13582345377,-0.384761045829879,0.222253244487352,-1.73118303274881,0.0834191245873019,0.224270817666941
"Utp14b",159.208051570017,0.274583797899336,0.53303956299163,0.515128363752706,0.606463323558691,0.815511434269416
"Kcne4",33.4517561592663,-0.436245267970431,1.11467070436678,-0.391366944750065,0.695526021992903,0.869551149040877
"Smyd3",178.635852086376,0.419020781633186,0.45796878841731,0.914954888260564,0.360215313169704,0.614580483589722
"Ap1s3",97.4748325180342,0.982453184094629,0.634090581778929,1.54938933383678,0.121288156255959,0.294132000326413
"Tfb2m",237.793036267412,0.687173375810776,0.464499114112126,1.47938576185292,0.139037243295175,0.32430486442854
"Cnst",539.218756145081,-0.729088878307562,0.303548455856599,-2.40188630263365,0.0163107771266842,0.0636547325509253
"Col3a1",2959.07992162831,0.025596738498877,0.213125716792678,0.120101594890009,0.904402668998443,0.967600566956579
"Mcmdc2",61.1283898967994,-1.33919277081259,0.786849497929782,-1.70196813283357,0.0887613422270128,0.234657655649729
"Tcf24",18.4687267559653,-1.64619326473713,1.42327940454804,-1.15661988747731,0.247427693371282,0.481518615613363
"Sccpdh",44.9607019366307,1.36734960087245,0.902163575517849,1.51563379189586,0.129611977489887,0.308537972546395
"Smg7",4883.47548874289,0.324177471611772,0.178881755435433,1.81224446742856,0.06994843095652,0.196765586266111
"ENSMUSG00000100394",13.7886081959143,-0.248399648942431,1.92561780257718,-0.128997378716577,0.89735972298096,0.96356601741317
"Col5a2",297.235539651015,-0.420990211037713,0.421282465508074,-0.999306274306935,0.317646346929744,0.567231796763461
"Wdfy1",857.910032193269,0.439158243438421,0.272019919701572,1.6144341337951,0.106433292874142,0.268154661188796
"Ppp1r42",54.3419937793895,-3.56829556559684,0.871516602964658,-4.09435179256309,4.2335111084926e-05,0.000362975155040561
"Mrpl44",60.4699008128671,1.39851614515507,0.813945058154434,1.71819477389065,0.0857610944670683,0.229030303797445
"Serpine2",70.0042358545663,-0.239554201130627,0.766849423956076,-0.312387534823719,0.75474602248645,0.901103641872238
"Nmnat2",11.3555339745871,4.13190490841253,2.05159255318598,2.01399878450328,0.0440096611049975,0.139561337882842
"Fam124b",7.91168378044263,-0.544547442915845,1.98167924984913,-0.274790909254009,0.78347688270925,0.914578083558875
"Ahctf1",3342.70623009049,1.1243726167908,0.19161334566297,5.86792434994827,4.41284497030157e-09,7.27841998999363e-08
"Cops5",584.627628949514,0.91183948198441,0.279779767545669,3.25913303161055,0.0011175325208038,0.0067329110262879
"Lamc2",26.7600107039735,0.24824826858544,1.20539406253264,0.205947811011984,0.836831678085353,0.94054349426723
"Cul3",6324.8377340888,-0.0565419608311782,0.161963288196558,-0.34910356205265,0.727011562482611,0.887456075990412
"ENSMUSG00000103076",163.715100507818,-0.406215570432177,0.514312790530118,-0.789822026423799,0.429631713547672,0.679774540624472
"ENSMUSG00000103525",8.84287397469279,0.878416803746012,2.32152533067444,0.378379159658283,0.705148947587484,0.87524227853901
"Lamc1",604.597258088332,-0.0947750820181594,0.280675142273878,-0.337668242546679,0.735613209257803,0.891648480179943
"ENSMUSG00000079138",9.62132566898361,-1.24862217139952,2.2496645087664,-0.555025945661648,0.578876913855197,0.797993627149273
"Shcbp1l",35.1498002444952,1.99178804361315,1.13515639041121,1.75463756398501,0.0793213218798161,0.215819365407791
"ENSMUSG00000103543",10.9972931842933,0.301054933928337,1.80139271480718,0.167123432582862,0.867272928766446,0.951998018484437
"Dhx9",2498.83107774392,1.04830759627863,0.18858749148838,5.55873344517772,2.71739326794557e-08,3.98436269250112e-07
"Npl",29.3867891858649,1.30210429390209,1.44332820880526,0.902153984075411,0.366975075166589,0.621774655764093
