GeneID,SRR12650992,SRR12650993,SRR12650994,SRR12650995
ENSMUSG00000104478,0,0,0,0
ENSMUSG00000104385,0,0,0,0
ENSMUSG00000101231,0,0,0,0
ENSMUSG00000102135,0,0,0,0
ENSMUSG00000103282,0,0,0,0
ENSMUSG00000101097,0,0,0,0
ENSMUSG00000100764,0,4,0,0
ENSMUSG00000102534,0,0,0,0
ENSMUSG00000100831,0,0,0,0
ENSMUSG00000100884,0,0,0,0
ENSMUSG00000100635,0,2,0,0
ENSMUSG00000102213,0,0,0,0
ENSMUSG00000100480,26,8,0,0
ENSMUSG00000089037,0,0,0,0
ENSMUSG00000103629,2,0,0,0
ENSMUSG00002076531,0,0,0,0
ENSMUSG00000100025,0,0,0,0
ENSMUSG00000051285,2206,1882,2376,1912
ENSMUSG00000098201,0,5,0,0
ENSMUSG00000103509,297,483,357,224
ENSMUSG00000048538,0,0,0,6
ENSMUSG00000103709,0,0,0,0
ENSMUSG00000077244,0,0,0,0
ENSMUSG00000102768,0,0,0,0
ENSMUSG00000103498,0,0,0,0
ENSMUSG00000103067,0,0,0,0
ENSMUSG00000102320,0,0,0,0
ENSMUSG00000104226,0,0,0,0
ENSMUSG00000103903,0,0,0,0
ENSMUSG00000103557,14,0,0,0
ENSMUSG00000026312,0,0,0,0
ENSMUSG00000100290,0,0,0,0
ENSMUSG00000100758,0,0,0,0
ENSMUSG00000099926,0,0,0,0
ENSMUSG00000039748,38,10,10,0
ENSMUSG00000118715,0,0,0,0
ENSMUSG00000104158,0,0,0,0
ENSMUSG00000103540,0,0,0,0
ENSMUSG00000057363,267,303,157,81
ENSMUSG00000047216,0,0,8,0
ENSMUSG00000102788,0,0,0,0
ENSMUSG00000102160,0,0,0,0
ENSMUSG00000101253,0,0,0,0
ENSMUSG00000101846,0,0,0,0
ENSMUSG00000090243,17,18,8,0
ENSMUSG00000100701,1,0,1,4
ENSMUSG00000100555,0,0,0,0
ENSMUSG00000101395,4,0,0,0
ENSMUSG00000102728,0,0,0,0
ENSMUSG00000088848,0,0,0,0
ENSMUSG00002075225,0,0,0,0
ENSMUSG00000038702,84,6,80,8
ENSMUSG00000101875,0,0,0,1
ENSMUSG00000099732,0,0,0,0
ENSMUSG00000101220,0,0,0,0
ENSMUSG00000100020,0,0,0,0
ENSMUSG00000088691,0,0,0,0
ENSMUSG00000099884,0,0,0,0
ENSMUSG00000100304,0,0,0,0
ENSMUSG00000101453,0,0,0,0
ENSMUSG00000102105,0,0,0,0
ENSMUSG00000099943,0,0,0,0
ENSMUSG00002075119,0,0,0,0
ENSMUSG00000101687,0,0,0,0
ENSMUSG00000055214,0,0,0,2
ENSMUSG00000078184,4,2,2,0
ENSMUSG00000104363,0,0,0,0
ENSMUSG00000103277,0,0,0,0
ENSMUSG00000104157,0,0,0,0
ENSMUSG00000102446,0,0,0,0
ENSMUSG00000104248,0,0,0,0
ENSMUSG00000103471,0,0,0,0
ENSMUSG00000087875,0,0,0,0
ENSMUSG00000033007,2,0,0,0
ENSMUSG00000070695,0,0,0,0
ENSMUSG00000025909,0,0,0,0
ENSMUSG00002076179,0,0,0,0
ENSMUSG00000102033,0,0,0,0
ENSMUSG00000102647,0,0,0,0
ENSMUSG00000086235,0,0,0,0
ENSMUSG00000102253,0,0,0,0
ENSMUSG00002074990,0,0,0,0
ENSMUSG00000094429,0,0,0,0
ENSMUSG00000103884,0,0,0,0
ENSMUSG00000084353,9,3,0,9
ENSMUSG00000103933,1,0,0,2
ENSMUSG00002075967,0,0,0,0
ENSMUSG00000086195,0,0,0,0
ENSMUSG00000104504,0,0,0,0
ENSMUSG00000066693,0,0,0,0
ENSMUSG00000102316,0,0,0,0
ENSMUSG00000103819,0,0,0,0
ENSMUSG00000102871,0,0,0,0
ENSMUSG00000101571,0,0,0,0
ENSMUSG00000104428,0,0,0,0
ENSMUSG00000102272,0,0,0,0
ENSMUSG00000065625,0,0,0,0
ENSMUSG00000103411,0,0,0,0
ENSMUSG00000061024,108,232,21,17
ENSMUSG00000102030,0,0,0,0
ENSMUSG00000025911,37,125,52,19
ENSMUSG00000081441,0,0,0,0
ENSMUSG00000067879,0,0,0,0
ENSMUSG00000099827,0,0,0,0
ENSMUSG00000057335,1653,1884,1112,1182
ENSMUSG00000103634,0,0,0,0
ENSMUSG00000104154,24,19,0,8
ENSMUSG00000065573,0,0,0,0
ENSMUSG00002076271,0,10,0,0
ENSMUSG00000025912,72,57,33,18
ENSMUSG00000045210,2875,3480,2912,2911
ENSMUSG00000041763,4509,4592,1900,1817
ENSMUSG00000026504,189,187,82,277
ENSMUSG00000103367,0,0,0,0
ENSMUSG00000103584,0,0,0,0
ENSMUSG00002076339,0,0,0,0
ENSMUSG00000102475,0,0,0,0
ENSMUSG00000047343,20,6,6,14
ENSMUSG00000102211,10,0,0,0
ENSMUSG00000090106,0,0,0,0
ENSMUSG00000103251,2,4,0,0
ENSMUSG00000091844,214,235,72,38
ENSMUSG00000026483,3315,4022,9763,8010
ENSMUSG00000082528,0,0,0,0
ENSMUSG00000082012,0,0,0,0
ENSMUSG00000101763,0,0,0,0
ENSMUSG00000098611,0,0,0,0
ENSMUSG00000100534,0,0,0,0
ENSMUSG00000102904,0,0,0,0
ENSMUSG00002076350,0,0,0,0
ENSMUSG00000019699,571,500,402,204
ENSMUSG00000104391,8,0,20,0
ENSMUSG00000102133,0,0,0,0
ENSMUSG00000102749,0,0,0,0
ENSMUSG00000103163,0,0,0,0
ENSMUSG00000103646,0,3,0,0
ENSMUSG00000102427,0,0,0,0
ENSMUSG00000063659,765,984,520,368
ENSMUSG00000026049,137,245,32,76
ENSMUSG00000103767,0,0,0,4
ENSMUSG00000043019,1620,1682,1087,764
ENSMUSG00000101104,0,0,0,0
ENSMUSG00000015962,11,30,6,10
ENSMUSG00000032666,117,40,46,97
ENSMUSG00000084557,0,0,0,0
ENSMUSG00000100685,0,0,0,0
ENSMUSG00000102090,0,0,0,0
ENSMUSG00000103744,0,0,0,0
ENSMUSG00000015961,2081,1899,1123,1179
ENSMUSG00000089657,0,12,0,0
ENSMUSG00000102483,0,0,0,0
ENSMUSG00000014980,128,95,25,14
ENSMUSG00000026235,150,62,40,84
ENSMUSG00000099141,0,0,0,0
ENSMUSG00000032649,39,62,7,30
ENSMUSG00000101849,0,0,0,0
ENSMUSG00000101506,0,0,0,0
ENSMUSG00000065215,0,0,0,0
ENSMUSG00000026047,38,51,31,8
ENSMUSG00000080878,0,0,0,0
ENSMUSG00000091476,4,0,1,0
ENSMUSG00000104097,4,0,0,0
ENSMUSG00000119789,0,0,0,0
ENSMUSG00000102493,0,0,0,0
ENSMUSG00000004872,0,0,0,0
ENSMUSG00000118426,0,0,0,0
ENSMUSG00000041684,66,112,66,20
ENSMUSG00000032908,18,18,4,28
ENSMUSG00000099561,0,0,0,0
ENSMUSG00000102945,0,0,0,0
ENSMUSG00000026502,955,1323,501,482
ENSMUSG00000103958,0,6,0,0
ENSMUSG00000104126,0,2,2,3
ENSMUSG00000026500,6,1,0,3
ENSMUSG00000026048,331,269,400,310
ENSMUSG00000046828,0,0,0,0
ENSMUSG00000089703,0,0,0,0
ENSMUSG00000100966,0,0,0,0
ENSMUSG00000101567,0,1,10,2
ENSMUSG00000026245,234,342,102,108
ENSMUSG00000101798,0,0,0,0
ENSMUSG00000104018,0,4,0,0
ENSMUSG00000090486,0,0,0,0
ENSMUSG00000026482,947,842,741,550
ENSMUSG00000086145,0,0,0,0
ENSMUSG00000080950,20,22,0,0
ENSMUSG00000099868,0,0,0,0
ENSMUSG00000055547,0,0,0,0
ENSMUSG00000012187,0,0,0,0
ENSMUSG00000008475,11831,13993,19659,19282
ENSMUSG00000100562,0,0,0,0
ENSMUSG00000056870,8,12,20,10
ENSMUSG00000102319,0,0,0,0
ENSMUSG00000089877,0,0,0,0
ENSMUSG00000101701,0,0,0,0
ENSMUSG00000103071,0,3,0,0
ENSMUSG00000100434,0,0,0,0
ENSMUSG00000100013,0,0,0,0
ENSMUSG00000101251,0,0,0,0
ENSMUSG00000101937,0,0,0,0
ENSMUSG00000039630,18195,20267,11405,8520
ENSMUSG00000104279,6,10,34,10
ENSMUSG00002075531,0,0,0,0
ENSMUSG00000064954,0,0,0,0
ENSMUSG00000026495,126,185,44,53
ENSMUSG00000032883,114,136,144,145
ENSMUSG00000026480,19595,14924,54947,50346
ENSMUSG00000026494,114,50,8,0
ENSMUSG00000064967,0,0,0,0
ENSMUSG00000102922,0,0,0,0
ENSMUSG00000025915,1484,1422,1514,1085
ENSMUSG00000079470,269,164,94,146
ENSMUSG00000099377,0,0,2,0
ENSMUSG00000099706,0,0,0,0
ENSMUSG00000047330,22,48,14,49
ENSMUSG00000101324,0,0,0,0
ENSMUSG00000072978,0,0,0,0
ENSMUSG00000046334,9,0,0,0
ENSMUSG00002075801,4,0,2,0
ENSMUSG00000050711,6,0,0,0
ENSMUSG00000099562,0,0,0,0
ENSMUSG00000077782,0,0,0,0
ENSMUSG00000055067,245,261,136,122
ENSMUSG00000054702,171,150,74,38
ENSMUSG00000096474,9,1,2,1
ENSMUSG00000102235,2,2,0,2
ENSMUSG00000026492,442,287,210,102
ENSMUSG00000082395,4,13,0,0
ENSMUSG00000038949,580,427,554,577
ENSMUSG00000026043,4478,2937,2601,2348
ENSMUSG00000046101,50,36,100,50
ENSMUSG00002074901,0,0,0,0
ENSMUSG00000093178,0,0,0,0
ENSMUSG00000099032,6,16,12,34
ENSMUSG00000104025,0,2,4,0
ENSMUSG00000038936,64,96,18,24
ENSMUSG00000042772,6501,6940,3404,3872
ENSMUSG00000100394,9,22,0,24
ENSMUSG00000103840,0,0,0,0
ENSMUSG00000087236,0,10,0,0
ENSMUSG00000100702,0,0,0,0
ENSMUSG00000026042,402,230,362,218
ENSMUSG00000104476,0,0,0,0
ENSMUSG00000073643,1012,1428,678,554
ENSMUSG00000104497,0,0,0,0
ENSMUSG00000025916,14,7,77,91
ENSMUSG00000087199,0,0,5,0
ENSMUSG00000026248,108,109,17,38
ENSMUSG00000119658,0,0,0,0
ENSMUSG00000026249,116,44,68,60
ENSMUSG00000042751,21,32,0,2
ENSMUSG00000067106,2,0,1,0
ENSMUSG00000099969,0,0,0,0
ENSMUSG00000100397,0,0,0,4
ENSMUSG00000099753,0,0,0,0
ENSMUSG00000118883,0,0,0,0
ENSMUSG00000102518,0,2,0,0
ENSMUSG00000043230,10,6,10,6
ENSMUSG00000103404,0,0,0,0
ENSMUSG00000026491,5055,6279,1976,1582
ENSMUSG00000025917,917,973,352,332
ENSMUSG00000104418,0,0,0,0
ENSMUSG00000026479,40,32,8,32
ENSMUSG00000004364,7232,8113,5587,5282
ENSMUSG00000103076,217,133,198,120
ENSMUSG00000103525,2,26,0,10
ENSMUSG00000090637,0,0,0,0
ENSMUSG00000026478,794,656,525,526
ENSMUSG00000110100,0,0,0,0
ENSMUSG00000103818,0,0,0,0
ENSMUSG00000079138,2,12,24,0
ENSMUSG00000042708,70,69,3,20
ENSMUSG00000064435,0,7,0,0
ENSMUSG00000103543,14,16,2,14
ENSMUSG00000041144,7,2,0,0
ENSMUSG00000119743,0,0,0,0
ENSMUSG00000042699,4329,4018,1321,1416
ENSMUSG00000101262,0,0,0,0
ENSMUSG00000042684,64,40,30,0
ENSMUSG00000099858,0,2,2,0
ENSMUSG00000101337,14,0,0,0
ENSMUSG00000025986,141,180,12,84
ENSMUSG00000100213,6,0,0,0
ENSMUSG00000103129,0,0,0,0
ENSMUSG00000100160,0,0,0,0
ENSMUSG00000101921,0,0,0,0
ENSMUSG00000101447,0,0,0,0
ENSMUSG00000081185,0,0,0,0
ENSMUSG00000103246,0,0,0,0
ENSMUSG00000098876,0,0,0,0
ENSMUSG00000100530,0,0,0,0
ENSMUSG00000104067,0,0,0,0
ENSMUSG00000100033,0,0,0,0
ENSMUSG00002075213,0,0,0,0
ENSMUSG00002076633,0,0,0,0
ENSMUSG00000101996,0,0,0,0
ENSMUSG00000096973,0,0,2,0
ENSMUSG00000064943,0,0,0,0
ENSMUSG00000100866,0,0,0,0
ENSMUSG00000101721,0,0,0,0
ENSMUSG00000099376,0,0,0,0
ENSMUSG00000097883,0,0,0,0
ENSMUSG00002076043,0,0,0,0
ENSMUSG00000099698,0,0,0,0
ENSMUSG00000056763,1649,1480,843,861
ENSMUSG00000099454,0,0,0,0
ENSMUSG00000051616,0,0,0,0
ENSMUSG00000099627,0,0,0,0
ENSMUSG00000099577,0,0,0,0
ENSMUSG00000099882,0,0,0,0
ENSMUSG00000101760,0,0,0,0
ENSMUSG00000102356,0,0,0,0
ENSMUSG00000099864,0,0,0,0
ENSMUSG00002075839,0,0,0,0
ENSMUSG00000100451,0,0,0,0
ENSMUSG00000099941,0,0,0,0
ENSMUSG00002075589,0,0,0,0
ENSMUSG00000100816,0,0,0,0
ENSMUSG00000042671,0,0,0,0
ENSMUSG00000100945,0,0,0,0
ENSMUSG00000102404,0,0,0,0
ENSMUSG00000026109,30,20,24,2
ENSMUSG00000026475,75,58,78,91
ENSMUSG00000100671,0,0,0,0
ENSMUSG00002075527,0,0,0,0
ENSMUSG00000101242,0,0,0,0
ENSMUSG00000099924,0,0,0,0
ENSMUSG00000099625,0,0,0,0
ENSMUSG00000045954,390,182,173,140
ENSMUSG00000099741,0,0,0,0
ENSMUSG00000066800,2447,1325,12906,11924
ENSMUSG00000067851,7876,10655,7092,5679
ENSMUSG00002076532,0,7,28,1
ENSMUSG00000102556,9,8,8,4
ENSMUSG00000038608,8999,11406,6520,4389
ENSMUSG00000042501,0,1,4,18
ENSMUSG00000103810,0,0,0,0
ENSMUSG00000083422,0,0,0,0
ENSMUSG00000119312,0,0,0,0
ENSMUSG00000042641,0,0,0,0
ENSMUSG00000081417,0,0,0,0
ENSMUSG00000103448,0,0,0,0
ENSMUSG00000103192,34,123,34,16
ENSMUSG00000104488,45,84,26,1
ENSMUSG00000100212,0,0,0,0
ENSMUSG00000102721,85,29,11,22
ENSMUSG00000100648,0,0,0,0
ENSMUSG00002076499,0,0,0,0
ENSMUSG00000099949,0,0,0,0
ENSMUSG00000099918,0,0,0,0
ENSMUSG00000026107,15418,12036,33378,28904
ENSMUSG00000103424,0,0,6,0
ENSMUSG00000104029,0,0,0,0
ENSMUSG00000101986,0,0,0,0
ENSMUSG00000087008,0,0,1,1
ENSMUSG00000066797,0,0,0,0
ENSMUSG00000048960,364,216,226,166
ENSMUSG00002076439,0,0,0,0
ENSMUSG00000100031,0,0,0,0
ENSMUSG00000077318,0,0,0,0
ENSMUSG00000101827,0,0,0,0
ENSMUSG00000103494,0,0,0,0
ENSMUSG00000067158,29,64,11,15
ENSMUSG00000079465,4,8,9,8
ENSMUSG00002075966,0,0,0,0
ENSMUSG00000101880,34,65,24,17
ENSMUSG00000101433,0,12,0,14
ENSMUSG00000056708,12848,15922,23756,20253
ENSMUSG00000026471,166,150,34,52
ENSMUSG00000057715,0,0,0,0
ENSMUSG00000026470,3978,5773,3514,2988
ENSMUSG00000103825,0,0,0,0
ENSMUSG00000099845,0,0,0,0
ENSMUSG00000103561,0,0,0,0
ENSMUSG00000101610,0,0,0,0
ENSMUSG00000104181,53,95,0,17
ENSMUSG00000118923,0,0,0,0
ENSMUSG00000098555,0,0,0,0
ENSMUSG00000097628,0,0,0,0
ENSMUSG00000098163,0,0,0,0
ENSMUSG00000033722,89,37,24,42
ENSMUSG00000103670,0,0,0,0
ENSMUSG00000026150,1941,2083,1420,1433
ENSMUSG00000101450,84,33,54,44
ENSMUSG00000026149,0,5,5,7
ENSMUSG00000114299,0,0,0,0
ENSMUSG00000099771,0,0,0,0
ENSMUSG00000102280,0,0,0,0
ENSMUSG00000100744,0,0,0,0
ENSMUSG00002074851,0,0,0,0
ENSMUSG00000026469,2798,3235,3361,2460
ENSMUSG00002076398,0,0,0,0
ENSMUSG00000018417,103,68,81,44
ENSMUSG00000101724,0,0,0,0
ENSMUSG00000100313,0,0,0,0
ENSMUSG00000100696,0,0,0,0
ENSMUSG00002075355,0,0,0,0
ENSMUSG00000072324,0,0,0,0
ENSMUSG00000026490,391,199,136,127
ENSMUSG00000033701,222,230,89,61
ENSMUSG00000102194,0,0,0,0
ENSMUSG00000103636,14,0,0,0
ENSMUSG00000026468,0,0,4,0
ENSMUSG00000103180,0,6,0,1
ENSMUSG00000062939,310,175,1867,1718
ENSMUSG00000101628,2,12,0,0
ENSMUSG00000078291,13,0,32,40
ENSMUSG00000033684,1827,1809,5907,6168
ENSMUSG00000102299,0,0,14,1
ENSMUSG00000102558,4,23,4,26
ENSMUSG00000016918,125,58,76,120
ENSMUSG00000033671,4156,5227,2769,2204
ENSMUSG00000103717,49,13,0,0
ENSMUSG00000103771,0,0,8,0
ENSMUSG00000026489,420,209,296,180
ENSMUSG00000025938,16,2,10,2
ENSMUSG00000026159,3782,4652,2808,2855
ENSMUSG00000104518,0,0,0,0
ENSMUSG00000069620,0,0,0,0
ENSMUSG00000113880,20,36,16,0
ENSMUSG00000113973,0,0,8,0
ENSMUSG00000113846,0,0,0,0
ENSMUSG00000113084,0,0,0,0
ENSMUSG00000042414,0,0,0,2
ENSMUSG00000113925,0,0,0,0
ENSMUSG00000114011,0,0,0,0
ENSMUSG00000113097,0,0,0,0
ENSMUSG00000101784,0,0,0,0
ENSMUSG00000038496,0,0,0,0
ENSMUSG00000100432,0,0,0,0
ENSMUSG00000100190,0,0,0,0
ENSMUSG00000113267,0,0,0,0
ENSMUSG00000104423,0,0,0,0
ENSMUSG00000101315,0,0,0,0
ENSMUSG00000099691,0,0,0,0
ENSMUSG00000026166,0,0,0,0
ENSMUSG00000101173,0,0,0,0
