GeneID	SRR12650991	SRR12650992	SRR12650993	SRR12650994	SRR12650995	
ENSMUSG00000104478	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0
ENSMUSG00000102135	5	0	0	0	0
ENSMUSG00000103282	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0
ENSMUSG00000100764	11	0	4	0	0
ENSMUSG00000102534	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0
ENSMUSG00000100635	5	0	2	0	0
ENSMUSG00000102213	0	0	0	0	0
ENSMUSG00000100480	15	26	8	0	0
ENSMUSG00000089037	0	0	0	0	0
ENSMUSG00000103629	0	2	0	0	0
ENSMUSG00002076531	0	0	0	0	0
ENSMUSG00000100025	0	0	0	0	0
ENSMUSG00000051285	1783	2206	1882	2376	1912
ENSMUSG00000098201	0	0	5	0	0
ENSMUSG00000103509	57	297	483	357	224
ENSMUSG00000048538	2	0	0	0	6
ENSMUSG00000103709	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0
ENSMUSG00000103498	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0
ENSMUSG00000103557	4	14	0	0	0
ENSMUSG00000026312	1	0	0	0	0
ENSMUSG00000100290	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0
ENSMUSG00000039748	226	38	10	10	0
ENSMUSG00000118715	0	0	0	0	0
ENSMUSG00000104158	2	0	0	0	0
ENSMUSG00000103540	0	0	0	0	0
ENSMUSG00000057363	1867	267	303	157	81
ENSMUSG00000047216	4	0	0	8	0
ENSMUSG00000102788	0	0	0	0	0
ENSMUSG00000102160	0	0	0	0	0
ENSMUSG00000101253	0	0	0	0	0
ENSMUSG00000101846	0	0	0	0	0
ENSMUSG00000090243	2	17	18	8	0
ENSMUSG00000100701	2	1	0	1	4
ENSMUSG00000100555	0	0	0	0	0
ENSMUSG00000101395	0	4	0	0	0
ENSMUSG00000102728	0	0	0	0	0
ENSMUSG00000088848	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	0
ENSMUSG00000038702	330	84	6	80	8
ENSMUSG00000101875	0	0	0	0	1
ENSMUSG00000099732	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0
ENSMUSG00000055214	0	0	0	0	2
ENSMUSG00000078184	2	4	2	2	0
ENSMUSG00000104363	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0
ENSMUSG00000104157	0	0	0	0	0
ENSMUSG00000102446	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0
ENSMUSG00000033007	0	2	0	0	0
ENSMUSG00000070695	0	0	0	0	0
ENSMUSG00000025909	2	0	0	0	0
ENSMUSG00002076179	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0
ENSMUSG00000086235	0	0	0	0	0
ENSMUSG00000102253	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0
ENSMUSG00000084353	4	9	3	0	9
ENSMUSG00000103933	1	1	0	0	2
ENSMUSG00002075967	1	0	0	0	0
ENSMUSG00000086195	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	0
ENSMUSG00000102316	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0
ENSMUSG00000102871	2	0	0	0	0
ENSMUSG00000101571	0	0	0	0	0
ENSMUSG00000104428	0	0	0	0	0
ENSMUSG00000102272	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0
ENSMUSG00000103411	4	0	0	0	0
ENSMUSG00000061024	588	108	232	21	17
ENSMUSG00000102030	1	0	0	0	0
ENSMUSG00000025911	312	37	125	52	19
ENSMUSG00000081441	2	0	0	0	0
ENSMUSG00000067879	2	0	0	0	0
ENSMUSG00000099827	0	0	0	0	0
ENSMUSG00000057335	2593	1653	1884	1112	1182
ENSMUSG00000103634	4	0	0	0	0
ENSMUSG00000104154	9	24	19	0	8
ENSMUSG00000065573	0	0	0	0	0
ENSMUSG00002076271	0	0	10	0	0
ENSMUSG00000025912	187	72	57	33	18
ENSMUSG00000045210	2851	2875	3480	2912	2911
ENSMUSG00000041763	4448	4509	4592	1900	1817
ENSMUSG00000026504	522	189	187	82	277
ENSMUSG00000103367	0	0	0	0	0
ENSMUSG00000103584	0	0	0	0	0
ENSMUSG00002076339	0	0	0	0	0
ENSMUSG00000102475	2	0	0	0	0
ENSMUSG00000047343	22	20	6	6	14
ENSMUSG00000102211	1	10	0	0	0
ENSMUSG00000090106	4	0	0	0	0
ENSMUSG00000103251	4	2	4	0	0
ENSMUSG00000091844	38	214	235	72	38
ENSMUSG00000026483	6580	3315	4022	9763	8010
ENSMUSG00000082528	0	0	0	0	0
ENSMUSG00000082012	0	0	0	0	0
ENSMUSG00000101763	0	0	0	0	0
ENSMUSG00000098611	0	0	0	0	0
ENSMUSG00000100534	2	0	0	0	0
ENSMUSG00000102904	0	0	0	0	0
ENSMUSG00002076350	0	0	0	0	0
ENSMUSG00000019699	525	571	500	402	204
ENSMUSG00000104391	2	8	0	20	0
ENSMUSG00000102133	0	0	0	0	0
ENSMUSG00000102749	2	0	0	0	0
ENSMUSG00000103163	0	0	0	0	0
ENSMUSG00000103646	4	0	3	0	0
ENSMUSG00000102427	2	0	0	0	0
ENSMUSG00000063659	1280	765	984	520	368
ENSMUSG00000026049	303	137	245	32	76
ENSMUSG00000103767	3	0	0	0	4
ENSMUSG00000043019	2909	1620	1682	1087	764
ENSMUSG00000101104	0	0	0	0	0
ENSMUSG00000015962	3	11	30	6	10
ENSMUSG00000032666	201	117	40	46	97
ENSMUSG00000084557	0	0	0	0	0
ENSMUSG00000100685	0	0	0	0	0
ENSMUSG00000102090	0	0	0	0	0
ENSMUSG00000103744	0	0	0	0	0
ENSMUSG00000015961	3365	2081	1899	1123	1179
ENSMUSG00000089657	8	0	12	0	0
ENSMUSG00000102483	0	0	0	0	0
ENSMUSG00000014980	219	128	95	25	14
ENSMUSG00000026235	106	150	62	40	84
ENSMUSG00000099141	0	0	0	0	0
ENSMUSG00000032649	68	39	62	7	30
ENSMUSG00000101849	0	0	0	0	0
ENSMUSG00000101506	0	0	0	0	0
ENSMUSG00000065215	0	0	0	0	0
ENSMUSG00000026047	350	38	51	31	8
ENSMUSG00000080878	0	0	0	0	0
ENSMUSG00000091476	7	4	0	1	0
ENSMUSG00000104097	0	4	0	0	0
ENSMUSG00000119789	0	0	0	0	0
ENSMUSG00000102493	0	0	0	0	0
ENSMUSG00000004872	0	0	0	0	0
ENSMUSG00000118426	0	0	0	0	0
ENSMUSG00000041684	387	66	112	66	20
ENSMUSG00000032908	16	18	18	4	28
ENSMUSG00000099561	0	0	0	0	0
ENSMUSG00000102945	0	0	0	0	0
ENSMUSG00000026502	1784	955	1323	501	482
ENSMUSG00000103958	2	0	6	0	0
ENSMUSG00000104126	1	0	2	2	3
ENSMUSG00000026500	0	6	1	0	3
ENSMUSG00000026048	584	331	269	400	310
ENSMUSG00000046828	0	0	0	0	0
ENSMUSG00000089703	0	0	0	0	0
ENSMUSG00000100966	0	0	0	0	0
ENSMUSG00000101567	1	0	1	10	2
ENSMUSG00000026245	2805	234	342	102	108
ENSMUSG00000101798	7	0	0	0	0
ENSMUSG00000104018	2	0	4	0	0
ENSMUSG00000090486	0	0	0	0	0
ENSMUSG00000026482	4099	947	842	741	550
ENSMUSG00000086145	1	0	0	0	0
ENSMUSG00000080950	4	20	22	0	0
ENSMUSG00000099868	0	0	0	0	0
ENSMUSG00000055547	0	0	0	0	0
ENSMUSG00000012187	0	0	0	0	0
ENSMUSG00000008475	17386	11831	13993	19659	19282
ENSMUSG00000100562	0	0	0	0	0
ENSMUSG00000056870	53	8	12	20	10
ENSMUSG00000102319	2	0	0	0	0
ENSMUSG00000089877	0	0	0	0	0
ENSMUSG00000101701	0	0	0	0	0
ENSMUSG00000103071	0	0	3	0	0
ENSMUSG00000100434	0	0	0	0	0
ENSMUSG00000100013	0	0	0	0	0
ENSMUSG00000101251	0	0	0	0	0
ENSMUSG00000101937	0	0	0	0	0
ENSMUSG00000039630	19121	18195	20267	11405	8520
ENSMUSG00000104279	14	6	10	34	10
ENSMUSG00002075531	0	0	0	0	0
ENSMUSG00000064954	0	0	0	0	0
ENSMUSG00000026495	59	126	185	44	53
ENSMUSG00000032883	652	114	136	144	145
ENSMUSG00000026480	19007	19595	14924	54947	50346
