"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"Retnlg",-5.30003775215068,7.37881907280703,-32.0214762467121,2.2937496833271e-13,1.83499974666168e-09,20.4717713103981,TRUE
"Cxcr2",-2.95096678312299,9.64963888038311,-23.9078314965139,8.34362903002123e-12,1.79742778173892e-08,17.6109370442127,TRUE
"S100a9",-2.79146650534534,11.7682706855244,-23.4503612284852,1.0568567841297e-11,1.79742778173892e-08,17.4037548939212,TRUE
"Thbs1",-2.60490634332194,13.6758055401884,-22.95393943544,1.37281981233007e-11,1.79742778173892e-08,17.1480982810655,TRUE
"Cstdc4",-3.64894514851405,6.86907954802459,-22.943960232151,1.38013363509559e-11,1.79742778173892e-08,16.9840751398475,TRUE
"Slc16a3",-2.90610371946292,9.81430651465081,-22.4961642041483,1.75578196541934e-11,1.79742778173892e-08,16.890682832784,TRUE
"Grina",-2.55451727869019,10.7165917610325,-22.1410717814404,2.13205858253619e-11,1.79742778173892e-08,16.7064759957517,TRUE
"Slfn4",-2.93002923923802,10.912911114882,-22.1216923776055,2.15495634622649e-11,1.79742778173892e-08,16.6966673398612,TRUE
"Trim30b",-2.95741727981669,7.89207036050469,-22.1577809444025,2.11252638763761e-11,1.79742778173892e-08,16.6789892360687,TRUE
"Stx11",-2.87403844529555,8.81025313620304,-22.0461441806616,2.24678472717365e-11,1.79742778173892e-08,16.6375226460007,TRUE
"Pla2g7",-2.82430280526799,8.07395642331799,-21.6676169239444,2.77501747934225e-11,1.92080641058406e-08,16.4214952613275,TRUE
"Slc2a3",-3.96939228370868,8.47749491835424,-21.4677535543797,3.106725852225e-11,1.92080641058406e-08,16.3144157505849,TRUE
"Gk",-3.21099042313843,6.8846957107674,-21.4365501543241,3.16226283444663e-11,1.92080641058406e-08,16.231882486672,TRUE
"Xdh",-3.12793197433277,7.73572488009427,-21.2390811722874,3.53951592552779e-11,1.92080641058406e-08,16.174943713183,TRUE
"Trpm2",-4.16241373015821,7.6890729267214,-21.208811611784,3.6015120198451e-11,1.92080641058406e-08,16.1405289499257,TRUE
"Ripor2",-2.89952022729838,7.72923208716645,-20.83350367046,4.47551386665701e-11,2.12085007356083e-08,15.9494828249024,TRUE
"Mcemp1",-2.77228229026858,7.74329501669288,-20.8215726992251,4.50680640631677e-11,2.12085007356083e-08,15.9439223405015,TRUE
"Sesn2",-2.7532700375686,7.97669333462091,-20.305101760469,6.11587834139053e-11,2.71816815172912e-08,15.6504964478218,TRUE
"Tpd52",-2.40181219317447,9.98441087651083,-20.0893955851956,6.96277320019852e-11,2.72499907238177e-08,15.5308663050368,TRUE
"Sell",-3.38723063035336,8.82840227738979,-19.9695193517859,7.48739459666265e-11,2.72499907238177e-08,15.4568625739594,TRUE
"Mmp8",-3.91424846568718,7.00970988686802,-19.9684413237747,7.49230144043764e-11,2.72499907238177e-08,15.4033924416885,TRUE
"Wfdc17",-3.54788318954472,6.75853015499858,-19.9681237824761,7.49374744904986e-11,2.72499907238177e-08,15.3942151702957,TRUE
"Glrx",-2.93001902320014,7.23600426954293,-19.7075768292524,8.78807744414455e-11,2.97702503645892e-08,15.2793373896694,TRUE
"Actg1",-2.303627043567,11.5635734245952,-19.6813613071988,8.93107510937676e-11,2.97702503645892e-08,15.2751789543636,TRUE
"Hp",-2.73433555197866,8.39776592915452,-19.4216700267084,1.04911332454163e-10,3.29842113311258e-08,15.122027041299,TRUE
"Klra2",-3.14360411739568,6.68498168046182,-19.38712487566,1.07198686826159e-10,3.29842113311258e-08,15.0583531458595,TRUE
"Adam8",-3.26728621612189,11.2650742794703,-19.2192545746503,1.19105754639278e-10,3.42194116623473e-08,14.9869564971053,TRUE
"Slpi",-2.5888985477716,8.52727472038214,-19.1034804710762,1.28144338388061e-10,3.47504590777848e-08,14.9238661003944,TRUE
"Dgat2",-2.5298893561886,7.71974538699998,-19.0376485813569,1.33611360810311e-10,3.47504590777848e-08,14.8800489005209,TRUE
"Isg20",-3.33967751351453,6.36671840624739,-19.0152049312566,1.35532219638665e-10,3.47504590777848e-08,14.8028737297055,TRUE
"Siglecf",3.46711790495044,7.06885192250962,18.9755207513686,1.39001836311139e-10,3.47504590777848e-08,14.802361089625,TRUE
"Padi4",-3.73339886814753,5.73755713959847,-19.2104561535319,1.19767940818216e-10,3.42194116623473e-08,14.7842112789008,TRUE
"Rdh12",-4.53415985423963,8.07723700289769,-18.8816206685486,1.47598670735044e-10,3.57814959357682e-08,14.7790363042923,TRUE
"Pira11",-2.72489149476139,7.34039248893621,-18.7459912958449,1.61042866945886e-10,3.61349126918572e-08,14.6915321525132,TRUE
"Slc27a4",-2.54023892518824,8.28913132509273,-18.7246746033317,1.63273259928157e-10,3.61349126918572e-08,14.6829209773477,TRUE
"Entpd1",-2.84924499085162,10.6046686683744,-18.6474091454818,1.71640835286322e-10,3.61349126918572e-08,14.6226027098853,TRUE
"Pglyrp1",-2.88861653710625,6.50142381817371,-18.6756310705779,1.68532135654717e-10,3.61349126918572e-08,14.6181928010972,TRUE
"Stfa2l1",-3.49196637376207,6.24828578596776,-18.7161205554284,1.64177618766976e-10,3.61349126918572e-08,14.6020255452729,TRUE
"Themis2",-2.34839690299969,9.30912337750254,-18.4932683965765,1.89746862787019e-10,3.80394442513458e-08,14.5298769484432,TRUE
"S100a8",-2.48403413758932,10.7927035038643,-18.4896391487313,1.90197221256729e-10,3.80394442513458e-08,14.5172284545178,TRUE
"AU020206",3.01749018294524,6.88311630344765,18.3375536745147,2.1014505008797e-10,4.10039122122869e-08,14.4044297103797,TRUE
"Por",-2.47604312429321,8.97606330272083,-18.2634341238774,2.20673724339033e-10,4.19038482623288e-08,14.3802281383982,TRUE
"Ifitm1",-2.25769241983036,8.97961609963673,-18.2325107115188,2.25233184410017e-10,4.19038482623288e-08,14.3595244999222,TRUE
"Selenon",-3.15003407401008,9.81816379803218,-18.1431644839458,2.38986492574798e-10,4.29234270976946e-08,14.2948657109078,TRUE
"Gda",-2.27806300848308,8.76087125101784,-18.1277823800901,2.41444277424532e-10,4.29234270976946e-08,14.2909592970983,TRUE
"Sp140",-2.43633365156508,7.41162682758792,-17.9202855410756,2.77398468830768e-10,4.63599260670906e-08,14.1556591899152,TRUE
"Fgl2",-2.27274335779637,9.14311061807302,-17.9291939845722,2.75741692559696e-10,4.63599260670906e-08,14.1551442210048,TRUE
"Oas3",-3.01848213539538,7.43421793271728,-17.8949034535498,2.82178064405492e-10,4.63599260670906e-08,14.1382329710979,TRUE
"Pira2",-2.5347402872736,7.12471156972715,-17.8855872747937,2.8395454716093e-10,4.63599260670906e-08,14.130832487065,TRUE
"Sh2d3c",-2.70516699283142,9.31358822075344,-17.4189280087176,3.90384780328377e-10,6.14304742658663e-08,13.8034862018384,TRUE
"Ngp",-5.20124866150169,6.63942723456415,-17.4143565359468,3.91619273444898e-10,6.14304742658663e-08,13.7386918011683,TRUE
"ENSMUSG00000115946",-3.03324227233123,6.014390017485,-17.359709234179,4.0670637646865e-10,6.25702117644076e-08,13.7349900216096,TRUE
"Rab44",-2.34526308227562,9.90077672107133,-17.282919191772,4.28974023371932e-10,6.43686677963745e-08,13.7013111186418,TRUE
"Smox",-2.38262029221088,10.3240150304214,-17.2645652078223,4.34488507625528e-10,6.43686677963745e-08,13.6836026320888,TRUE
"Hdac4",-2.68162232436292,7.17669179844735,-17.2249261931507,4.46660360360709e-10,6.49687796888304e-08,13.6823196229531,TRUE
"Pde7b",-3.19055574363642,6.0927353148246,-17.1750936019701,4.62485919044421e-10,6.60694170063458e-08,13.6127312027908,TRUE
"Slc40a1",-2.49587502501255,7.58264587627379,-17.0896647219744,4.91038449289323e-10,6.86307433150795e-08,13.5861203675871,TRUE
"Srgn",-2.00973798982296,12.3785427901418,-17.0708659536926,4.97572889034326e-10,6.86307433150795e-08,13.5164502226689,TRUE
"Actb",-1.78041557824947,13.0613630884754,-17.0301196395853,5.12059995013994e-10,6.9431863730711e-08,13.4758463815324,TRUE
"Cd14",-1.88030751582879,11.886895069566,-16.9180816980386,5.54287734376907e-10,7.39050312502542e-08,13.4134258354933,TRUE
"Nampt",-2.49035367511549,8.04026815274688,-16.7327173391237,6.32611921874247e-10,8.29654979507209e-08,13.3275365826696,TRUE
"Slc15a3",-2.09148601048197,10.3253256013263,-16.6815405784529,6.56279052907499e-10,8.46811681170967e-08,13.2632588658094,TRUE
"Slc11a1",-2.11843555060041,10.9540781899718,-16.6567511373661,6.68084360953499e-10,8.48361093274285e-08,13.2363870555861,TRUE
"S100a11",-2.19063160443898,9.73603115031946,-16.6029730771063,6.94488269688549e-10,8.68110337110686e-08,13.2133217216027,TRUE
"Tgm1",-4.41834576504387,6.22538843000348,-16.5048162157898,7.45623586129714e-10,9.17690567544264e-08,13.1204785962257,TRUE
"Crispld2",-2.96189670341664,6.01736882271777,-16.4235831749721,7.91010506893139e-10,9.44490157484345e-08,13.0959458049186,TRUE
"Hdc",-1.83745388553443,12.0046259932213,-16.4716928653342,7.63782524221363e-10,9.25796999056197e-08,13.0821309916597,TRUE
"Zyx",-2.01451883106551,9.93313337314191,-16.3544035586576,8.32010961051476e-10,9.78836424766442e-08,13.026303820744,TRUE
"Nsd3",-2.09562135209101,8.55251592348024,-16.3161822150222,8.55639989032034e-10,9.92046364095112e-08,13.0166692221118,TRUE
"Pbx1",-2.39593485396823,6.67614263945916,-16.1450572983532,9.7065549724236e-10,1.10932056827698e-07,12.911219747672,TRUE
"Ndel1",-2.03228897412092,9.55874470543834,-16.0962387321922,1.00644145443744e-09,1.1340185402112e-07,12.8373770780086,TRUE
"Pi16",-3.06839325915595,6.2193445066339,-15.9689920721281,1.10656712717614e-09,1.22951903019571e-07,12.7750994254027,TRUE
"Zfyve26",-2.39247005598443,7.92636619266491,-15.8311980378133,1.22721477023852e-09,1.34489289889153e-07,12.6591065920087,TRUE
"Cpne2",-2.41600796620671,6.85560555207476,-15.7306300142859,1.32418154688138e-09,1.40371009195864e-07,12.6000149105395,TRUE
"Lmnb1",-1.90399968939459,10.1228657912174,-15.7813555154063,1.27428066029862e-09,1.37760071383635e-07,12.5874205927722,TRUE
"Nedd9",-2.09537595275097,7.56704025658571,-15.7213614904855,1.33352458736071e-09,1.40371009195864e-07,12.5799726772465,TRUE
"Cnn2",-2.32232812453279,6.60379967165689,-15.6637821021463,1.39318002958371e-09,1.42890259444483e-07,12.5514506203697,TRUE
"Itgal",-1.86911768816805,9.90087942205754,-15.6864042236801,1.36940653726394e-09,1.42276003871578e-07,12.5170873806706,TRUE
"Sgms2",-1.87071897976244,9.74851061384513,-15.625815487634,1.43408319748148e-09,1.45223614934833e-07,12.4722222261424,TRUE
"Trim30a",-2.08640768083548,7.86268248500768,-15.5705542298118,1.49594551299194e-09,1.49594551299194e-07,12.4587182634013,TRUE
