"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000039013",3.46711790495044,7.06885192250962,18.9755207513686,1.39001836311139e-10,3.47504590777848e-08,14.802361089625
"ENSMUSG00000097415",3.01749018294524,6.88311630344765,18.3375536745147,2.1014505008797e-10,4.10039122122869e-08,14.4044297103797
"ENSMUSG00000021665",2.90859529636905,6.26592661889619,13.1732178762084,1.07913195848645e-08,5.49876157190547e-07,10.5204584938395
"ENSMUSG00000022263",2.42042746717678,6.29113082350448,12.9383460563989,1.33181411025746e-08,6.19448423375565e-07,10.3028046571418
"ENSMUSG00000020399",1.80306737830685,7.70687891882298,12.9890670400256,1.27230266231924e-08,6.05858410628211e-07,10.278015899182
"ENSMUSG00000033705",2.40804501951272,6.1595615370981,12.1908571644656,2.66154980904149e-08,9.94013641538109e-07,9.61029689607147
"ENSMUSG00000053007",1.60717290084853,7.81899046942271,11.9940400046605,3.21322679035605e-08,1.13241472787879e-06,9.31604316379525
"ENSMUSG00000113136",1.52723920736749,8.26176016370163,11.6121404857051,4.66647776010739e-08,1.43583931080227e-06,8.91449928405537
"ENSMUSG00000047250",2.60710970696419,5.71670709235985,11.3846886137374,5.85668262272869e-08,1.69758916600832e-06,8.84118781170613
"ENSMUSG00000069833",2.22256867237988,9.08196938326068,11.4914623471262,5.26177028778868e-08,1.55904304823368e-06,8.76882501339617
"ENSMUSG00000057135",2.82000448809491,4.96941128320475,11.2156329233233,6.9511846066191e-08,1.92420335131324e-06,8.67371250125957
"ENSMUSG00000026796",1.5811628354592,7.61264035968405,11.2411913470778,6.77251390604695e-08,1.89440948420894e-06,8.55250184289816
"ENSMUSG00000020788",1.6040321140644,7.85827567797286,11.2173424657222,6.9390773131449e-08,1.92420335131324e-06,8.51632615370771
"ENSMUSG00000054150",2.43452240560291,5.24647831381466,10.5581385498928,1.38221390096356e-07,3.17750322060589e-06,8.00025443320208
"ENSMUSG00000028339",1.95771594399261,6.1435090950298,10.614091767962,1.30192616819233e-07,3.08148205489308e-06,7.98401560407511
"ENSMUSG00000056476",2.07801751518401,6.15892926201943,10.3511465985947,1.7286239973921e-07,3.79917362064198e-06,7.69614283910438
"ENSMUSG00000000555",1.42564190635418,8.89541635530164,10.4003709124999,1.63855810702047e-07,3.62112288844302e-06,7.58662760148767
"ENSMUSG00000028413",1.51708899563117,8.68058625859232,10.1720849280477,2.10374473135369e-07,4.27156290630192e-06,7.33326979431581
"ENSMUSG00000087366",1.84738186683957,5.51694630691058,9.94929467254907,2.69654974255144e-07,5.27442492430599e-06,7.28986842471231
"ENSMUSG00000038963",2.25928500854362,5.15953948363161,9.77729928088147,3.27612414143797e-07,6.15234580551731e-06,7.13720193225763
"ENSMUSG00000034854",2.17503339942743,5.37825706712293,9.7943058130823,3.21327590782597e-07,6.04851935590771e-06,7.13523156327883
"ENSMUSG00000021822",1.41873346941495,7.44269504821786,9.94673927898096,2.70430807304342e-07,5.27669867910912e-06,7.12071985772564
"ENSMUSG00000020092",3.25117846962453,4.37688535206028,9.66459449798706,3.72736845828039e-07,6.7924709945884e-06,6.99107015213117
"ENSMUSG00000031659",1.74899419930141,5.98673161529017,9.72654946415507,3.47162208622886e-07,6.4289297893127e-06,6.98322061862634
"ENSMUSG00000028514",1.72993354334609,6.06549753569043,9.720764207836,3.49468866826635e-07,6.45669961804407e-06,6.96859736432762
"ENSMUSG00000027646",2.52044724398539,5.53876441762784,9.61337935768372,3.95401221748108e-07,7.12434633780374e-06,6.92293218255349
"ENSMUSG00000053907",1.43269283796936,6.50605271736457,9.53783612489029,4.31564902003711e-07,7.55474664339101e-06,6.70285943248474
"ENSMUSG00000000957",2.66793775327387,5.52006572562471,9.39896462601338,5.07610151645641e-07,8.6218284780576e-06,6.67830701784451
"ENSMUSG00000033016",1.57724611636347,7.6036277379644,9.47554824350309,4.64046382444003e-07,8.02798919938247e-06,6.55049865711153
"ENSMUSG00000062421",2.1297196728259,6.97124432978528,9.41027359286102,5.00910845327485e-07,8.54432145547949e-06,6.52894093399656
"ENSMUSG00000035954",1.62284579828852,5.71789462779749,9.21646166047499,6.30071743718481e-07,1.01216344372447e-05,6.3930231390117
"ENSMUSG00000028063",1.52017304679541,6.82250972931597,9.28689526309392,5.79427584494297e-07,9.46004219582525e-06,6.37416494103903
"ENSMUSG00000001552",1.71451698615317,5.67185684958405,9.14693413745417,6.847332905659e-07,1.07811255975023e-05,6.31594084738016
"ENSMUSG00000135122",1.14013767729581,9.64014535145248,9.28153357035444,5.83125382124014e-07,9.47345567271171e-06,6.23058568801633
"ENSMUSG00000121093",1.31912042924333,7.88370764171285,9.15030010530021,6.81973408417581e-07,1.07609216318356e-05,6.13134935150227
"ENSMUSG00000028034",1.60179427977917,6.33420036062555,8.9891727674574,8.28485405233915e-07,1.25290798523087e-05,6.04652116929087
"ENSMUSG00000024401",1.34907734617292,8.79442668532597,9.07546196978343,7.46245403404828e-07,1.15250255352097e-05,6.0038460766068
"ENSMUSG00000036526",2.31251375206958,4.53563325679598,8.75308543557733,1.10713834197668e-06,1.5704089957116e-05,5.96348940502816
"ENSMUSG00000034187",1.71642160323886,6.54314874775293,8.8692774693518,9.59219693517471e-07,1.41582242585605e-05,5.87943514155519
