"","SRR12650992","SRR12650993","SRR12650994","SRR12650995"
"Pcmtd1",1756.52699992413,1541.06947734868,2679.59763780924,2387.89341932382
"ENSMUSG00000103509",236.486182673376,395.502953007126,402.61631174154,279.753203937519
"Exo1",30.2574913858192,8.18846693596533,11.2777678358975,0
"Uxs1",212.598689474045,248.11054815975,177.06095502359,101.160756780978
"ENSMUSG00000090243",13.5362461462875,14.7392404847376,9.02221426871799,0
"Dsel",66.8849809581265,4.9130801615792,90.2221426871799,9.99118585491139
"Rrs1",85.9949755175913,189.972432914396,23.6833124553847,21.2312699416867
"Adhfe1",29.4612416125081,102.355836699567,58.6443927466669,23.7290664054146
"Cep170",1316.20087528313,1542.70717073587,1254.0877833518,1476.19771006316
"ENSMUSG00000104154",19.1099945594647,15.5580871783341,0,9.99118585491139
"Mybl1",57.3299836783942,46.6742615350024,37.2166338584617,22.4801681735506
"Vcpip1",2289.21809826921,2849.58649371594,3284.08599381335,3635.54275295588
"Tpp2",3590.29022785944,3760.14401699528,2142.77588882052,2269.24808729675
"Sdccag8",150.491207155785,153.124331702552,92.4776962543594,345.944810226307
"Mettl21c",15.9249954662206,4.9130801615792,6.76666070153849,17.4845752460949
"Ccdc168",170.397451488561,192.428972995185,81.1999284184619,47.4581328108291
"Niban1",2639.56799852607,3293.40140164526,11010.4847381867,10003.67483723
"Akt3",454.658620560598,409.423346798267,453.366267003079,254.77523930024
"Zbtb18",609.131076582938,805.745146498989,586.443927466669,459.594549325924
"Tex30",109.086218943611,200.617439931151,36.0888570748719,94.9162656216582
"Edem3",1289.92463276387,1377.30013862937,1225.89336376206,954.158249144038
"Spmip3",8.75874750642133,24.565400807896,6.76666070153849,12.4889823186392
"1700025G04Rik",93.1612234773906,32.7538677438613,51.8777320451284,121.143128490801
"Adss2",1656.99577826025,1554.98987113982,1266.49332797129,1472.45101536757
"Tsen15",101.919970983812,77.7904358916707,28.1944195897437,17.4845752460949
"Epha4",119.437465996655,50.7684950029851,45.1110713435899,104.90745147657
"Colgalt2",31.0537411591302,50.7684950029851,7.89443748512824,37.4669469559177
"Poglut2",30.2574913858192,41.7611813734232,34.9610802912822,9.99118585491139
"Bivm",52.552485038528,91.7108296828117,74.4332677169234,24.9779646372785
"Sgpp2",14.3324959195985,14.7392404847376,4.51110713435899,34.9691504921899
"Desi2",760.418533512034,1083.33417562821,565.016168578464,601.968947758411
"Ercc5",263.558674965951,220.269760577467,451.110713435899,387.158451877816
"Farsb",186.322446954781,280.045569210014,115.033231926154,134.881009041304
"Rgl1",754.048535325546,689.468916008281,835.682596640003,686.894027525158
"ENSMUSG00000080950",15.9249954662206,18.0146272591237,0,0
"Arpc5",9420.4310680428,11458.1217834963,22170.9637885909,24081.2557068002
"Gulp1",6.36999818648824,9.8261603231584,22.555535671795,12.4889823186392
"Hnrnpu",14487.7646253942,16595.5659391209,12862.2942168411,10640.6129354806
"ENSMUSG00000104279",4.77749863986618,8.18846693596533,38.3444106420514,12.4889823186392
"Efcab2",100.32747143719,151.486638315359,49.6221784779489,66.191606288788
"Acsl3",90.7724741574575,111.363150329129,162.399856836924,181.090243620269
"Ncf2",15602.5143080296,12220.4680552347,61967.9509279059,62877.0303814211
"Kif26b",90.7724741574575,40.9423346798267,9.02221426871799,0
"Sgk3",1181.63466359357,1164.39999829427,1707.45405035488,1355.05458157236
"Utp14b",214.191189020667,134.290857749831,106.011017657436,182.339141852133
"Kcne4",17.5174950128427,39.3046412926336,15.7888749702565,61.1960133613323
"Smyd3",195.081194461202,213.718987028695,153.377642568206,152.365584287399
"Ap1s3",136.158711236186,122.82700403948,83.4554819856414,47.4581328108291
"Tfb2m",351.942399803475,235.009001062205,236.833124553847,127.38761965012
"Cnst",461.824868520398,349.64753816572,624.78833810872,720.614279785484
"Col3a1",3565.60648488679,2404.95273909302,2933.34741411694,2932.41304841649
"Mcmdc2",39.8124886655515,29.4784809694752,112.777678358975,62.4449115931962
"Tcf24",4.77749863986618,13.1015470975445,13.533321403077,42.4625398833734
"Sccpdh",50.9599854919059,78.6092825852672,20.2999821046155,29.9735575647342
"Smg7",5176.41977629501,5682.79605355994,3838.9521713395,4835.73395377711
"ENSMUSG00000100394",7.16624795979927,18.0146272591237,0,29.9735575647342
"Col5a2",320.092408871034,188.334739527203,408.255195659489,272.259814546335
"Wdfy1",805.804770590763,1169.31307845585,764.632659273849,691.889620452614
"Ppp1r42",11.1474968263544,5.73192685517573,86.8388123364106,113.649739099617
"Mrpl44",85.9949755175913,89.2542896020221,19.1722053210257,47.4581328108291
"Serpine2",92.3649737040795,36.0292545182475,76.6888212841029,74.9338939118354
"Nmnat2",16.7212452395316,26.2030941950891,0,2.49779646372785
"Fam124b",7.9624977331103,4.9130801615792,11.2777678358975,7.49338939118354
"Ahctf1",4025.04260408726,5141.53838909263,2228.48692437334,1975.75700280873
"Cops5",730.161042126215,796.737832869427,396.977427823591,414.634212978823
"Lamc2",31.8499909324412,26.2030941950891,9.02221426871799,39.9647434196456
"Cul3",5758.47836058537,6643.30322514868,6300.88888991592,6596.68046070525
"ENSMUSG00000103076",172.786200808494,108.906610248339,223.29980315077,149.867787823671
"ENSMUSG00000103525",1.59249954662206,21.2900140335099,0,12.4889823186392
"Lamc1",632.222320008958,537.163430999326,592.082811384618,656.920469960424
"ENSMUSG00000079138",1.59249954662206,9.8261603231584,27.066642806154,0
"Shcbp1l",55.7374841317721,56.5004218581608,3.38333035076924,24.9779646372785
"ENSMUSG00000103543",11.1474968263544,13.1015470975445,2.2555535671795,17.4845752460949
"Dhx9",3446.96526866345,3290.12601487087,1489.79313112206,1768.43989631932
"Npl",50.9599854919059,32.7538677438613,33.8333035076924,0
"Slc39a10",112.271218036855,147.392404847376,13.533321403077,104.90745147657
"Cspp1",1313.01587618989,1211.89310652287,950.715828566158,1075.30137763484
"Tmeff2",23.8874931993309,16.3769338719307,27.066642806154,2.49779646372785
"Rgs16",59.7187329983273,47.4931082285989,87.9665891200004,113.649739099617
"Cavin2",310.537411591302,149.030098234569,195.105383561026,174.845752460949
"Rnasel",1948.42319529209,1084.97186901541,14555.0871690093,14891.8625167454
"Arfgef1",6271.26321459768,8724.81152027106,7998.19294921849,7092.49305875522
"Dock10",7165.45171002596,9339.76538716206,7353.10462900516,5481.41433965076
"ENSMUSG00000103192",27.072492292575,100.718143312374,38.3444106420514,19.9823717098228
"ENSMUSG00000104488",35.8312397989964,68.7831222621088,29.3221963733335,1.24889823186392
"ENSMUSG00000102721",67.6812307314376,23.7465541142995,12.4055446194872,27.4757611010063
"Nabp1",12276.5790049095,9855.63880412788,37642.9334826586,36098.1544937949
"Prex2",289.834917485215,176.870885816851,254.877553091283,207.317106489411
"Col4a4",23.0912434260199,52.4061883901781,12.4055446194872,18.7334734779589
"ENSMUSG00000101880",27.072492292575,53.2250350837747,27.066642806154,21.2312699416867
"ENSMUSG00000101433",0,9.8261603231584,0,17.4845752460949
"Ier5",10230.2170875001,13037.677055444,26791.4652709581,25293.9358899401
"Mr1",132.177462369631,122.82700403948,38.3444106420514,64.942708056924
"Stx6",3167.48159823128,4727.20196213279,3963.00761753438,3731.7079168094
"ENSMUSG00000104181",42.2012379854846,77.7904358916707,0,21.2312699416867
"BC034090",70.8662298246817,30.2973276630717,27.066642806154,52.4537257382848
