"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Retnlg",18885.9501875294,-5.38778414861292,0.152010580846825,-35.4434810958454,3.65537735333888e-275,7.19268601816492e-271
"Cstdc4",7841.98868087275,-3.72948455882579,0.158440667504031,-23.5386824454707,1.63945271094987e-122,1.61297554966803e-118
"Padi4",3670.12278926011,-3.81503929779838,0.174029520701583,-21.9217939716114,1.60986700385653e-106,1.0559117678295e-102
"Gk",6980.15553744583,-3.29505869783234,0.153888314682482,-21.4120136712852,1.03253483044612e-101,5.07929696467206e-98
"Trim30b",13084.6415244208,-3.04229644063356,0.145677718166099,-20.8837458393245,7.5254566173495e-97,2.96156819719172e-93
"Trpm2",16208.7279842038,-4.20331870227881,0.202526593552068,-20.7544037973373,1.11861051059874e-95,3.66848316950858e-92
"Stx11",24173.9352629644,-2.95742337841708,0.142715414404718,-20.722522446176,2.17013149704348e-95,6.10023963818922e-92
"Slc2a3",26379.3334371349,-4.01733186974868,0.19409412821808,-20.6978536992881,3.6214257475004e-95,7.91764382595172e-92
"Slc16a3",48910.0971219892,-2.98759078193178,0.144332192699586,-20.6994068755691,3.50659151812753e-95,7.91764382595172e-92
"Cxcr2",44178.1896271829,-3.03182428641349,0.147445043350263,-20.5624022179657,5.96076803491564e-94,1.17290032623035e-90
"Xdh",12305.0583793698,-3.20660793187979,0.156663168477055,-20.4681672345306,4.13895607237611e-93,7.40383987601315e-90
"Slfn4",105455.209799096,-3.00817944199328,0.150578227356697,-19.9775192921308,8.64123626932593e-89,1.41694671726272e-85
"Ripor2",11505.7847959408,-2.98246890348367,0.14985030190814,-19.9029889530149,3.83371223761219e-88,5.80276582303808e-85
"Stfa2l1",4877.46958366437,-3.56866995055,0.181260779014546,-19.6880426640096,2.73037721387119e-86,3.83754517409596e-83
"Pla2g7",14320.8792657848,-2.90717465404879,0.147730420888028,-19.6789167496672,3.26915255286992e-86,4.28847431885476e-83
"Isg20",5057.02577984779,-3.41397093302117,0.175145191573368,-19.4922332857255,1.2778082240505e-84,1.5714645265401e-81
"Klra2",5964.59772374781,-3.22228247086724,0.165703029705457,-19.4461288764301,3.14280941402213e-84,3.63770946115962e-81
"S100a9",184201.949469206,-2.87769793560813,0.148165926782519,-19.4221302974203,5.01652280692993e-84,5.4838955151089e-81
"Grina",83405.2305253147,-2.638813724751,0.136360386584273,-19.3517618338531,1.96991848738405e-83,2.04010979348715e-80
"Glrx",8247.01241747093,-3.01386646328171,0.156718512141735,-19.2310813961531,2.03343559463826e-82,2.00059560978485e-79
