Id	BJ5	BJ7	BJ8	BJ9	BJ10	BJ1	BJ2	BJ3	BJ4	BJ6	norm.BJ5	norm.BJ7	norm.BJ8	norm.BJ9	norm.BJ10	norm.BJ1	norm.BJ2	norm.BJ3	norm.BJ4	norm.BJ6	baseMean	M	F	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
ENST00000279477	186	156	193	9	291	12	13	7	8	7	181	163	202	9	324	11	12	7	7	7	92.31	176	9	0.056	-4.163	-6.438	1.2137751597156e-10	3.96485393539803e-07	0.5616	0.2325	0.4862	0.4862	TRUE	0.0931
ENST00000302754	2834	21	325	16	282	0	0	0	0	0	2763	22	340	16	314	0	0	0	0	0	345.47	691	0	0.001	-10.316	-6.204	5.50589106547341e-10	1.03172533008307e-06	3.4769	0.2125	1.8732	3.4769	TRUE	2.7523
ENST00000262929	61	47	50	3	55	2	1	1	2	2	59	49	52	3	61	2	1	1	2	2	23.26	45	2	0.039	-4.662	-6.086	1.15785202820216e-09	1.89844313174097e-06	0	0.3133	0.4601	0.4601	TRUE	1.2717
ENST00000535830	38	31	57	19	61	8	9	7	6	6	37	32	60	19	68	8	8	7	5	6	24.94	43	7	0.17	-2.56	-5.913	3.35832810268608e-09	4.89457663588148e-06	0.133	0.306	0.1658	0.1658	TRUE	0.0532
ENST00000538973	48	91	73	19	94	14	12	13	10	10	47	95	76	19	105	13	11	12	9	9	39.68	68	11	0.182	-2.456	-5.591	2.25889021179949e-08	2.96298629081739e-05	0.2044	0.2686	0.2165	0.2165	TRUE	0.0969
ENST00000526510	53	6	95	130	138	6	9	8	7	9	52	6	99	128	154	6	8	7	6	8	47.57	88	7	0.093	-3.429	-5.511	3.56866044582647e-08	3.90084325565882e-05	0.4946	0.258	0.4415	0.4415	TRUE	0.0747
ENST00000436936	48	44	49	5	64	7	0	2	2	2	47	46	51	5	71	7	0	2	2	2	23.25	44	3	0.066	-3.932	-5.382	7.38077525749788e-08	7.44720223481536e-05	0.6149	0.3133	0.5205	0.5205	TRUE	0.4771
ENST00000267085	42	69	86	52	75	28	21	22	32	23	41	72	90	51	84	27	20	21	28	22	45.5	68	24	0.461	-1.118	-4.983	6.25384210560773e-07	0.00058594033499469	0.0533	0.2605	0.0851	0.0851	TRUE	0.0868
ENST00000525554	60	88	84	47	54	10	8	16	27	31	58	92	88	46	60	10	7	15	24	29	43.01	69	17	0.36	-1.473	-4.927	8.33557286134292e-07	0.000728918061481568	0.1392	0.2636	0.1661	0.1661	TRUE	0.2214
ENST00000357949	2	16	26	42	39	1	1	3	0	0	2	17	27	41	43	1	1	3	0	0	13.55	26	1	0.054	-4.203	-4.89	1.00599480237047e-06	0.000824727113918341	0.7751	0.3907	0.6421	0.6421	TRUE	0.229
ENST00000568365	18	14	20	0	20	0	0	0	0	0	18	15	21	0	22	0	0	0	0	0	7.54	15	0	0.027	-5.227	-4.829	1.37328623318799e-06	0.00105961150121923	2.0976	0.5384	1.1146	1.1146	TRUE	0.4152
ENST00000546200	125	488	662	125	562	41	57	86	56	123	122	510	693	123	626	39	53	80	50	116	241.25	415	68	0.245	-2.03	-4.764	1.90212786260015e-06	0.00138612284298479	0.3896	0.2157	0.3538	0.3538	TRUE	0.0364
ENST00000296370	25	870	1133	709	38	15	24	34	74	52	24	909	1186	700	42	14	22	32	66	49	304.52	572	37	0.107	-3.229	-4.671	2.99096318003072e-06	0.00202133442393031	1.0555	0.2135	0.8515	0.8515	TRUE	0.0406
ENST00000451739	23	24	27	14	24	8	8	6	5	8	22	25	28	14	27	8	7	6	4	8	14.9	23	7	0.437	-1.195	-4.665	3.08200720276026e-06	0.00202133442393031	0	0.3738	0.0913	0.0913	TRUE	0.3165
ENST00000287156	133	526	249	375	410	143	74	115	121	95	130	550	261	370	456	137	69	107	107	90	227.69	353	102	0.446	-1.164	-4.651	3.29544161065731e-06	0.00205839560033295	0.1631	0.2163	0.1721	0.1721	TRUE	0.097
ENST00000509339	224	248	480	379	512	171	167	153	155	166	218	259	503	374	570	164	156	143	138	157	268.1	385	152	0.526	-0.926	-4.561	5.08994611182385e-06	0.00303476468858152	0.0824	0.2146	0.1002	0.1002	TRUE	0.0758
ENST00000477801	3148	2750	3910	6513	5229	1623	1505	1798	1035	2475	3069	2873	4094	6430	5822	1552	1408	1678	919	2337	3018	4458	1579	0.508	-0.977	-4.533	5.82420848096366e-06	0.00332157141933915	0.1171	0.2061	0.1307	0.1307	TRUE	0.0892
ENST00000357396	142	169	177	250	216	86	117	77	77	126	138	177	185	247	240	82	109	72	68	119	143.84	197	90	0.582	-0.782	-4.358	1.31186700144803e-05	0.00661836902230533	0.0511	0.2227	0.0732	0.0732	TRUE	0.1209
ENST00000527160	32	39	24	33	32	17	13	10	16	15	31	41	25	33	36	16	12	9	14	14	23.14	33	13	0.553	-0.854	-4.364	1.27548493975041e-05	0.00661836902230533	0	0.3138	0.0593	0.0593	TRUE	0.1238
ENST00000380749	49	58	60	71	29	32	24	21	22	22	48	61	63	70	32	31	22	20	20	21	38.65	55	23	0.57	-0.811	-4.279	1.87624769690117e-05	0.00848646242767331	0.0392	0.2702	0.0774	0.0774	TRUE	0.2248
