Id	BJ1	BJ2	BJ3	BJ4	BJ6	BJ5	BJ7	BJ8	BJ9	BJ10	CD1	CD2	CD3	CD4	CD5	CD6	CD7	CD8	CD9	CD10	norm.BJ1	norm.BJ2	norm.BJ3	norm.BJ4	norm.BJ6	norm.BJ5	norm.BJ7	norm.BJ8	norm.BJ9	norm.BJ10	norm.CD1	norm.CD2	norm.CD3	norm.CD4	norm.CD5	norm.CD6	norm.CD7	norm.CD8	norm.CD9	norm.CD10	baseMean	Beijing	Chengde	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
ENST00000505428	764	697	693	738	701	798	565	366	479	394	7	6	6	7	29	10	8	8	16	20	674	600	590	607	645	764	533	316	399	346	9	6	6	8	27	12	9	8	15	20	279.77	547	12	0.024	-5.396	-20.302	1.23755634793974e-91	4.39827526057784e-87	0.1097	0.3932	0.1304	0.1304	TRUE	0.2313
ENST00000546694	194	234	269	230	208	232	230	240	272	153	1	3	2	0	11	1	1	1	7	4	171	201	229	189	191	222	217	207	226	134	1	3	2	0	10	1	1	1	7	4	101.01	199	3	0.018	-5.816	-19.355	1.8553757614327e-83	3.29700272806591e-79	0.0244	0.405	0.0597	0.0597	TRUE	0.9826
ENST00000216019	245	220	271	257	222	217	163	167	243	154	0	7	6	17	8	12	10	10	14	11	216	189	231	211	204	208	154	144	202	135	0	7	6	20	8	14	11	10	13	11	99.79	189	10	0.055	-4.176	-18.767	1.41811012711661e-78	1.67998779725748e-74	0.0367	0.4052	0.0667	0.0667	TRUE	0.2372
ENST00000402738	104	100	96	104	109	114	96	80	119	80	0	7	0	4	9	3	6	4	6	4	92	86	82	86	100	109	91	69	99	70	0	7	0	5	8	4	7	4	6	4	46.4	88	4	0.054	-4.203	-16.397	1.9991301972095e-60	1.77622718022064e-56	0.0119	0.4266	0.0412	0.0412	TRUE	0.2175
ENST00000475808	131	126	97	111	101	91	90	102	87	91	0	3	1	0	3	0	1	0	4	8	116	108	83	91	93	87	85	88	72	80	0	3	1	0	3	0	1	0	4	8	46.16	90	2	0.026	-5.268	-15.27	1.21220262373631e-52	8.61633624951766e-49	0.0123	0.4268	0.0453	0.0453	TRUE	0.9928
ENST00000354289	1576	1228	1081	812	1480	1568	289	278	562	388	1	3	1	2	16	0	3	5	9	4	1391	1056	920	668	1361	1501	273	240	468	340	1	3	1	2	15	0	3	5	9	4	413.18	822	4	0.007	-7.217	-15.109	1.41459058652032e-51	8.37909157415533e-48	0.4853	0.3911	0.4743	0.4743	TRUE	0.1414
ENST00000369026	297	311	240	249	214	234	454	235	312	369	9	13	7	13	25	3	10	5	18	30	262	268	204	205	197	224	429	203	260	324	12	14	7	15	24	4	11	5	17	30	135.66	258	14	0.057	-4.127	-15.05	3.45270912650297e-51	1.75298974794165e-47	0.1235	0.4003	0.1474	0.1474	TRUE	0.4766
ENST00000479199	237	150	159	189	197	252	117	166	161	162	1	4	2	4	14	1	6	3	12	13	209	129	135	155	181	241	110	143	134	142	1	4	2	5	13	1	7	3	11	13	82.11	158	6	0.042	-4.558	-14.997	7.70563727070415e-51	3.42322935751032e-47	0.1029	0.4092	0.1435	0.1435	TRUE	0.2855
ENST00000540567	140	130	140	136	124	133	113	152	170	201	3	8	9	10	31	5	5	7	11	10	124	112	119	112	114	127	107	131	142	176	4	8	9	12	29	6	5	7	10	10	68.27	126	10	0.085	-3.551	-14.532	7.55136797245636e-48	2.98195130823443e-44	0.0557	0.4138	0.0928	0.0928	TRUE	1.6938
ENST00000040738	232	204	213	193	224	216	149	137	161	104	7	9	17	1	14	1	3	5	10	10	205	176	181	159	206	207	141	118	134	91	9	10	17	1	13	1	3	5	9	10	84.86	162	8	0.053	-4.231	-14.496	1.28660840544886e-47	4.57260627296524e-44	0.1094	0.4085	0.1445	0.1445	TRUE	0.2081
