Id	CD6	CD7	CD8	CD9	CD10	CD1	CD2	CD3	CD4	CD5	norm.CD6	norm.CD7	norm.CD8	norm.CD9	norm.CD10	norm.CD1	norm.CD2	norm.CD3	norm.CD4	norm.CD5	baseMean	M	F	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
ENST00000361365	144	156	127	168	137	0	0	0	0	0	151	153	117	147	125	0	0	0	0	0	69.3	139	0	0.002	-9.282	-10.1	5.54134227768913e-24	9.09722161728225e-20	0.0072	0.5314	0.0729	0.0729	TRUE	0.0683
ENST00000336079	26	34	44	17	34	0	0	0	0	0	27	33	41	15	31	0	0	0	0	0	14.71	29	0	0.009	-6.841	-7.156	8.30770275366846e-13	2.7277511221395e-09	0.0983	0.7546	0.2423	0.2423	TRUE	0.1262
ENST00000378625	183	120	36	79	136	4	12	12	14	23	191	118	33	69	124	5	12	11	15	21	59.87	107	13	0.125	-3.001	-5.638	1.71888425469196e-08	4.70315380154632e-05	0.2801	0.5409	0.3148	0.3148	TRUE	0.0848
ENST00000430575	0	111	118	44	113	0	0	0	0	0	0	109	109	38	103	0	0	0	0	0	35.97	72	0	0.005	-7.568	-5.462	4.70506882192016e-08	0.000110347306927805	3.4644	0.5871	1.9815	1.9815	TRUE	0.0989
ENST00000477725	63	11	14	11	9	0	0	0	0	0	66	11	13	10	8	0	0	0	0	0	10.74	22	0	0.014	-6.111	-5.365	8.0774110679087e-08	0.000160157693878933	0.9871	0.8594	0.9461	0.9461	TRUE	7.5109
ENST00000629237	11	10	9	6	14	0	0	0	0	0	12	10	8	5	13	0	0	0	0	0	4.77	10	0	0.027	-5.187	-5.297	1.17485528384377e-07	0.000187475308573573	0	1.3459	0.3391	0.3391	TRUE	0.126
ENST00000250784	49	5	5	52	8	0	0	0	0	0	51	5	5	45	7	0	0	0	0	0	11.35	23	0	0.016	-5.985	-5.05	4.42065998791676e-07	0.000558261346320226	1.4623	0.8386	1.2545	1.2545	TRUE	0.0466
ENST00000330188	183	125	58	114	4	4	3	12	3	5	191	123	54	100	4	5	3	11	3	5	49.71	94	5	0.068	-3.881	-5.058	4.24000994419009e-07	0.000558261346320226	0.7415	0.5551	0.7116	0.7116	TRUE	0.0695
ENST00000320912	47	35	54	7	11	1	4	3	2	2	49	34	50	6	10	1	4	3	2	2	16.12	30	2	0.101	-3.312	-4.752	2.01912702673243e-06	0.00220986722652442	0.4425	0.7299	0.4855	0.4855	TRUE	0.0378
ENST00000359228	11	41	50	72	41	6	3	6	13	5	12	40	46	63	38	7	3	5	14	5	23.19	40	7	0.225	-2.153	-4.503	6.7140072059501e-06	0.00649246004540401	0.2472	0.651	0.3061	0.3061	TRUE	0.2405
ENST00000368690	63	15	35	26	27	4	8	5	8	7	66	15	32	23	25	5	8	5	8	6	19.21	32	6	0.286	-1.806	-4.403	1.06754779919222e-05	0.00927668658904701	0.1825	0.6883	0.2434	0.2434	TRUE	0.5797
ENST00000382772	5	5	6	6	6	0	0	0	0	0	5	5	6	5	5	0	0	0	0	0	2.64	5	0	0.095	-3.392	-4.37	1.24314494096993e-05	0.00927668658904701	0	2.0503	0.3886	0.3886	TRUE	0.0313
ENST00000485584	6	10	4	5	6	0	0	0	0	0	6	10	4	4	5	0	0	0	0	0	2.96	6	0	0.089	-3.488	-4.376	1.2077310280565e-05	0.00927668658904701	0	1.8782	0.4937	0.4937	TRUE	0.3261
ENST00000567229	21	33	15	4	16	0	2	0	0	3	22	32	14	3	15	0	2	0	0	3	9.1	17	1	0.178	-2.49	-4.202	2.64405178976036e-05	0.0173629592929983	0.5223	0.9296	0.6304	0.6304	TRUE	0.2304
ENST00000485513	8	8	8	7	46	0	2	0	0	0	8	8	7	6	42	0	2	0	0	0	7.37	14	0	0.192	-2.379	-4.097	4.18011063928102e-05	0.0263941832173371	0.7909	1.0367	0.8557	0.8557	TRUE	5.6252
ENST00000331789	1959	158	813	103	172	29	56	95	24	115	2048	155	751	90	157	34	54	87	25	105	350.61	640	61	0.306	-1.708	-4.071	4.68347690142053e-05	0.0284772741817114	0.8872	0.4831	0.8246	0.8246	TRUE	0.5624
ENST00000301765	31	39	47	39	38	19	19	17	14	12	32	38	43	34	35	22	18	16	15	11	26.47	36	16	0.802	-0.318	-3.937	8.23366568573689e-05	0.0436038998589492	0	0.6288	0.0632	0.0632	TRUE	0.1857
