ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
17	"ENSMUSG00000120097"	"Gm36914"	chr19	+	32952744	32952848	32965707	32966121	32943496	32943644	32975854	32976060	17	0,4	0,0	0,6	12,11	78	78	0.00893364994291734	0.143003799299439	NA,1.0	0.0,0.353	0.824
25	"ENSMUSG00000097855"	"A930007I19Rik"	chr19	-	29477211	29477479	29487548	29487729	29465751	29465983	29498247	29498369	25	0,2	10,12	0,0	3,5	78	78	0.286672508855238	0.479237090698964	0.0,0.143	0.0,0.0	0.071
27	"ENSMUSG00000056917"	"Sipa1"	chr19	-	5705715	5705819	5706181	5706356	5705285	5705443	5709361	5709538	27	87,103	168,220	68,27	41,120	78	78	0.768122905552664	0.884451050664592	0.341,0.319	0.624,0.184	-0.074
33	"ENSMUSG00000138644"	NA	chr19	+	6997415	6997520	7008387	7008519	6996007	6996220	7008839	7008885	33	62,16	25,6	10,39	17,12	78	78	0.385354536695384	0.582145611643964	0.713,0.727	0.37,0.765	0.152
34	"ENSMUSG00000138644"	NA	chr19	+	6997415	6997520	7008387	7008554	6996007	6996220	7008839	7008885	34	62,16	16,6	10,39	17,12	78	78	0.240146792945157	0.431840731919533	0.795,0.727	0.37,0.765	0.194
35	"ENSMUSG00000138644"	NA	chr19	+	6997415	6997545	7008387	7008519	6996007	6996220	7008839	7008885	35	62,16	25,6	10,39	17,12	78	78	0.385354536695384	0.582145611643964	0.713,0.727	0.37,0.765	0.152
36	"ENSMUSG00000138644"	NA	chr19	+	6997415	6997545	7008387	7008554	6996007	6996220	7008839	7008885	36	62,16	16,6	10,39	17,12	78	78	0.240146792945157	0.431840731919533	0.795,0.727	0.37,0.765	0.194
54	"ENSMUSG00000058624"	"Gda"	chr19	-	21377922	21378069	21387235	21387303	21374870	21375001	21389861	21389959	54	124,223	151,186	536,610	482,534	78	78	0.378910227795268	0.576429030173845	0.451,0.545	0.527,0.533	-0.032
55	"ENSMUSG00000058624"	"Gda"	chr19	-	21387235	21387303	21389861	21389959	21377922	21378069	21392177	21392285	55	121,187	86,141	469,684	400,485	78	78	0.417818933767418	0.610184601251743	0.585,0.57	0.54,0.585	0.015
56	"ENSMUSG00000058624"	"Gda"	chr19	-	21394363	21394471	21396737	21396765	21392177	21392285	21400361	21400467	56	42,75	188,304	139,270	712,1037	67	78	0.804714815031468	0.910854150739177	0.206,0.223	0.185,0.233	0.005
57	"ENSMUSG00000024958"	"Gpr137"	chr19	-	6916123	6916242	6916379	6916508	6915424	6915897	6916628	6916778	57	23,27	19,17	16,30	31,35	78	78	0.0402944969126582	0.170252279144717	0.548,0.614	0.34,0.462	0.18
58	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8720217	8720288	8720443	8720499	8719617	8719861	8720716	8720787	58	106,110	76,110	140,76	78,92	78	78	0.850791495052207	0.942394285414058	0.582,0.5	0.642,0.452	-0.006
59	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8726170	8726252	8727029	8727136	8725866	8726075	8727269	8727391	59	83,90	163,152	80,33	108,217	78	78	0.421329306376994	0.61401795090754	0.337,0.372	0.426,0.132	0.076
63	"ENSMUSG00000025204"	"Ndufb8"	chr19	-	44542107	44542207	44543369	44543453	44541136	44541292	44543755	44543858	63	0,4	118,183	0,0	33,66	78	78	0.126611752193309	0.295200366411704	0.0,0.021	0.0,0.0	0.011
64	"ENSMUSG00000025204"	"Ndufb8"	chr19	-	44542107	44542207	44543369	44543496	44541136	44541292	44543755	44543865	64	108,157	118,183	52,63	33,66	78	78	0.181329504907497	0.362528689845621	0.478,0.462	0.612,0.488	-0.08
65	"ENSMUSG00000036908"	"Unc93b1"	chr19	+	3992693	3992818	3993528	3993711	3992348	3992442	3994022	3994296	65	349,368	202,192	517,553	402,441	78	78	0.00325441754120792	0.143003799299439	0.633,0.657	0.563,0.556	0.086
66	"ENSMUSG00000036908"	"Unc93b1"	chr19	+	3993528	3993711	3994022	3994296	3992693	3992818	3997006	3997125	66	487,341	345,424	597,802	618,601	78	78	0.712136752981374	0.84815462816435	0.585,0.446	0.491,0.572	-0.016
67	"ENSMUSG00000071659"	"Hnrnpul2"	chr19	+	8801769	8801882	8802223	8802487	8801584	8801675	8802634	8802757	67	158,233	243,314	132,107	153,222	78	78	0.690469110584247	0.832645706572377	0.394,0.426	0.463,0.325	0.016
68	"ENSMUSG00000071662"	"Polr2g"	chr19	-	8771843	8771894	8774599	8774759	8771665	8771731	8775587	8775697	68	45,92	27,45	21,50	10,12	78	78	0.147109443695005	0.31957926155886	0.625,0.672	0.677,0.806	-0.093
69	"ENSMUSG00000018820"	"Zfyve27"	chr19	+	42174243	42174388	42177960	42178042	42172556	42172628	42178821	42180156	69	33,44	50,100	21,41	31,52	78	78	0.0928058543558163	0.245429364646541	0.398,0.306	0.404,0.441	-0.071
