ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSMUSG00000118038"	"Gm9895"	chr19	+	29044638	29044982	29044638	29044666	29044935	29044982	4	1,0	0,0	8,1	0,8	78	39	0.923761737814582	0.999202115572178	1.0,NA	1.0,0.059	0.471
6	"ENSMUSG00000097855"	"A930007I19Rik"	chr19	-	29464333	29465983	29464333	29465071	29465770	29465983	6	20,50	14,7	7,36	8,0	78	39	0.408137616313255	0.587918551295603	0.417,0.781	0.304,1.0	-0.053
8	"ENSMUSG00000024941"	"Scyl1"	chr19	-	5808827	5809174	5808827	5808888	5808967	5809174	8	51,54	72,91	10,26	30,40	78	39	0.313795782834338	0.499602983394545	0.262,0.229	0.143,0.245	0.051
9	"ENSMUSG00000024941"	"Scyl1"	chr19	-	5820230	5820580	5820230	5820380	5820520	5820580	9	158,103	0,0	73,65	0,3	78	39	0.129185032332197	0.283678540707445	1.0,1.0	1.0,0.915	0.042
10	"ENSMUSG00000024940"	"Ltbp3"	chr19	+	5796670	5797051	5796670	5796763	5796928	5797051	10	0,1	6,3	0,0	6,0	78	39	0.999202115572178	0.999202115572178	0.0,0.143	0.0,NA	0.071
12	"ENSMUSG00000075010"	"AW112010"	chr19	-	11024975	11025756	11024975	11025457	11025642	11025756	12	1,0	64,69	0,0	57,65	78	39	0.266583629748234	0.4492526169628	0.008,0.0	0.0,0.0	0.004
21	"ENSMUSG00000067577"	"A430093F15Rik"	chr19	+	10762781	10763404	10762781	10763007	10763141	10763404	21	63,15	0,2	0,24	0,0	78	39	0.119480386219666	0.276279832592449	1.0,0.789	NA,1.0	-0.105
25	"ENSMUSG00000138644"	NA	chr19	+	7008387	7008885	7008387	7008519	7008839	7008885	25	127,74	9,0	47,45	0,0	78	39	0.057247758632641	0.212546620957438	0.876,1.0	1.0,1.0	-0.062
27	"ENSMUSG00000138644"	NA	chr19	+	7008387	7009394	7008387	7008885	7009068	7009394	27	114,63	0,1	16,15	0,0	78	39	0.584878998132863	0.736641373550911	1.0,0.969	1.0,1.0	-0.016
34	"ENSMUSG00000118314"	"1700001K23Rik"	chr19	-	53237166	53237816	53237166	53237384	53237485	53237816	34	1,0	0,4	14,0	0,0	78	39	0.894571904911454	0.984522944246005	1.0,0.0	1.0,NA	-0.5
41	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53431397	53431978	53431397	53431697	53431866	53431978	41	162,213	5,7	252,356	10,38	78	39	0.138592073652061	0.295952928510255	0.942,0.938	0.926,0.824	0.065
