ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000118038"	"Gm9895"	chr19	+	29046392	29046922	29046521	29046922	29044935	29044982	0	0,0	1,0	3,0	0,0	78	39	0.0626988370147947	0.214500133649612	0.0,NA	1.0,NA	-1.0
8	"ENSMUSG00000024941"	"Scyl1"	chr19	-	5809298	5809370	5809298	5809367	5809692	5809832	8	37,59	12,7	55,16	0,0	42	39	0.0219066958221271	0.21333414551597	0.741,0.887	1.0,1.0	-0.186
13	"ENSMUSG00000056917"	"Sipa1"	chr19	-	5711623	5711686	5711623	5711654	5712615	5712869	13	10,19	16,4	11,11	0,3	71	39	0.224989847364795	0.405678240349958	0.256,0.723	1.0,0.668	-0.345
31	"ENSMUSG00000138644"	NA	chr19	+	7009068	7009394	7009104	7009394	7008839	7008885	31	11,10	0,1	9,0	0,0	75	39	0.999202115572178	0.999202115572178	1.0,0.839	1.0,NA	-0.081
33	"ENSMUSG00000138644"	NA	chr19	+	7009094	7009403	7009104	7009403	7008839	7008885	33	5,0	0,1	9,0	0,0	49	39	0.965069587797752	0.999202115572178	1.0,0.0	1.0,NA	-0.5
44	"ENSMUSG00000134987"	NA	chr19	+	32912120	32912431	32912228	32912431	32897586	32897758	44	16,7	10,0	57,54	2,15	78	39	0.326631831970005	0.498833271131558	0.444,1.0	0.934,0.643	-0.067
51	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53435586	53435744	53435586	53435693	53436635	53436827	51	174,137	3,0	176,276	0,0	78	39	0.0392673270174803	0.21333414551597	0.967,1.0	1.0,1.0	-0.016
52	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53435586	53435744	53435586	53435693	53437705	53437745	52	236,226	0,0	286,464	0,1	78	39	0.0570213169838626	0.21333414551597	1.0,1.0	1.0,0.996	0.002
53	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53440053	53440195	53440053	53440152	53440995	53441135	53	202,124	2,0	240,325	8,0	78	39	0.289876299988185	0.466561223662176	0.981,1.0	0.938,1.0	0.021
55	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53442131	53442288	53442131	53442274	53443159	53443254	55	3,35	4,0	18,19	7,0	53	39	0.234078561383503	0.414212767539798	0.356,1.0	0.654,1.0	-0.149
59	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53440053	53440195	53440053	53440155	53451694	53451923	59	197,102	0,0	249,306	0,5	78	39	0.180953233015678	0.349402759960978	1.0,1.0	1.0,0.968	0.016
63	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53440053	53440155	53440053	53440152	53451738	53451923	63	17,10	0,0	2,51	1,15	42	39	0.000520369835335766	0.0730339063893747	1.0,1.0	0.65,0.759	0.295
64	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53440053	53440195	53440053	53440152	53451738	53451923	64	205,113	0,0	247,327	1,15	78	39	0.00796091061386694	0.21333414551597	1.0,1.0	0.992,0.916	0.046
65	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53440053	53440195	53440053	53440155	53451738	53451923	65	188,103	0,0	245,289	0,13	78	39	0.357683596621407	0.527874792700467	1.0,1.0	1.0,0.917	0.041
69	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53440053	53440155	53440053	53440152	53451763	53451923	69	17,10	0,0	2,38	0,5	42	39	0.0175532844810062	0.21333414551597	1.0,1.0	1.0,0.876	0.062
70	"ENSMUSG00000097636"	"Mirt1"	chr19	-	53440053	53440195	53440053	53440152	53451763	53451923	70	202,119	0,0	241,329	0,5	78	39	0.162715468197604	0.326945110401343	1.0,1.0	1.0,0.971	0.014
78	"ENSMUSG00000118204"	"4930414N06Rik"	chr19	-	44949052	44949293	44949052	44949289	44953231	44953385	78	1,0	5,0	5,0	0,0	43	39	0.0877794232852807	0.239583528004759	0.154,NA	1.0,NA	-0.846
106	"ENSMUSG00000047368"	"Abhd17b"	chr19	+	21658231	21658411	21658353	21658411	21655716	21656186	106	211,98	0,0	390,274	0,3	78	39	0.197484845181832	0.370795960150771	1.0,1.0	1.0,0.979	0.01
110	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8720443	8720787	8720716	8720787	8720217	8720288	110	112,160	0,0	129,66	0,4	78	39	0.221483135273589	0.402136585195966	1.0,1.0	1.0,0.892	0.054
111	"ENSMUSG00000010110"	"Stx5a"	chr19	+	8732240	8733006	8732272	8733006	8727269	8727391	111	14,0	120,102	1,0	57,115	71	39	0.0918836299704286	0.245161841665879	0.06,0.0	0.01,0.0	0.025
114	"ENSMUSG00000024889"	"Rce1"	chr19	-	4673528	4673604	4673528	4673591	4673853	4673925	114	0,15	37,41	1,0	15,16	52	39	0.446457343508826	0.607762251808572	0.0,0.215	0.048,0.0	0.083
116	"ENSMUSG00000024889"	"Rce1"	chr19	-	4675040	4675124	4675040	4675120	4675220	4675323	116	33,19	0,14	0,1	0,0	43	39	0.270016305702918	0.450279299794004	1.0,0.552	NA,1.0	-0.224
120	"ENSMUSG00000071647"	"Eml3"	chr19	+	8908407	8908668	8908410	8908668	8908162	8908334	120	15,26	17,1	7,17	0,17	42	39	0.774181873210493	0.889532754032687	0.45,0.96	1.0,0.481	-0.035
124	"ENSMUSG00000024965"	"Fermt3"	chr19	-	6979124	6979820	6979124	6979249	6980189	6980314	124	22,53	0,2	48,59	8,0	78	39	0.999202115572178	0.999202115572178	1.0,0.93	0.75,1.0	0.09
125	"ENSMUSG00000038274"	"Fau"	chr19	+	6108457	6108602	6108562	6108602	6108272	6108355	125	2179,2773	0,0	2828,2633	1,0	78	39	0.0656286317171254	0.216810926381411	1.0,1.0	0.999,1.0	0.0
126	"ENSMUSG00000024942"	"Capn1"	chr19	-	6064230	6064498	6064230	6064297	6065765	6065927	126	99,142	0,0	115,221	7,6	78	39	0.000472119292796447	0.0724110935917468	1.0,1.0	0.891,0.948	0.081
